month	ct_avg_Tdx收盘价	股东人数
2021-11	131.22	24689	
2021-12	126.16	7054	
2022-03	93.47	6608	
2022-06	91.02	6130	
2022-09	108.42	5959	
2022-12	79.85	9610	
2023-03	91.83	12628	
2023-06	118.19	10234	
2023-09	108.62	7938	
2023-12	106.88	8365	
2024-01	92.33	9215	
2024-03	91.82	11000	
2024-06	82.7	9949	
2024-09	83.87	8424	
