month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2018-02	5.61	1.1	
2018-03	5.04	0.86	
2018-04	4.92	0.8	
2018-05	5.83	1.09	
2018-06	6.33	1.23	
2018-07	5.99	1.07	
2018-08	5.18	0.77	
2018-09	5.25	0.77	
2018-10	4.91	0.64	
2018-11	4.38	0.45	
2018-12	4.48	0.47	
2019-01	4.35	0.42	
2019-02	4.87	0.58	
2019-03	5.32	0.71	
2019-04	5.56	0.77	
2019-05	5.26	0.66	
2019-06	5.32	0.66	
2019-07	5.9	0.83	
2019-08	5.02	0.54	
2019-09	4.99	0.52	
2019-10	4.8	0.45	
2019-11	4.63	0.39	
2019-12	4.86	0.46	
2020-01	5.32	0.59	
2020-02	4.76	0.41	
2020-03	4.19	0.24	
2020-04	4.21	0.24	
2020-05	4.71	0.38	
2020-06	5.06	0.48	
2020-07	6.37	0.85	
2020-08	6.37	0.83	
2020-09	6.45	0.84	
2020-10	7.57	1.13	
2020-11	8.55	1.38	
2020-12	9.98	1.73	
2021-01	10.51	1.83	
2021-02	9.99	1.64	
2021-03	8.05	1.1	
2021-04	7.98	1.05	
2021-05	9.41	1.38	
2021-06	10.28	1.54	
2021-07	9.44	1.29	
2021-08	8.35	1	
2021-09	8.28	0.95	
2021-10	8.88	1.06	
2021-11	8.69	0.98	
2021-12	8.63	0.93	
2022-01	7.92	0.75	
2022-02	8.25	0.79	
2022-03	7.22	0.55	
2022-04	6.8	0.44	
2022-05	7.71	0.61	
2022-06	8.38	0.73	
2022-07	8.67	0.76	
2022-08	8.43	0.69	
2022-09	7.52	0.49	
2022-10	7.1	0.39	
2022-11	7.01	0.36	
2022-12	7.89	0.51	
2023-01	8.75	0.65	
2023-02	8.65	0.61	
2023-03	8.28	0.53	
2023-04	7.65	0.4	
2023-05	7.09	0.28	
2023-06	6.9	0.24	
2023-07	6.89	0.23	
2023-08	7.06	0.25	
2023-09	6.94	0.22	
2023-10	6.18	0.08	
2023-11	6.08	0.05	
2023-12	5.61	-0.03	
2024-01	5	-0.14	
2024-02	5	-0.15	
2024-03	5.18	-0.12	
2024-04	4.97	-0.16	
2024-05	4.9	-0.17	
2024-06	4.56	-0.23	
2024-07	4.33	-0.27	
2024-08	4.26	-0.29	
2024-09	4.2	-0.3	
2024-10	4.65	-0.22	
2024-11	4.71	-0.22	
2024-12	4.57	-0.24	
2025-01	4.33	-0.28	
