month	ct_avg_前复权价格	人均持股
2018-09	1.04	814.5	
2018-12	0.77	1631	
2019-02	0.95	2483	
2019-03	1.14	3450	
2019-06	1.17	4539	
2019-09	1.74	5779	
2019-12	2.12	4948	
2020-03	1.61	4660	
2020-06	2.16	11421	
2020-09	2.36	13185	
2020-12	2.3	9711	
2021-03	1.7	9094	
2021-06	1.44	6074	
2021-09	1.45	37181	
2021-12	1.85	50437	
2022-03	1.4	46119	
2022-06	1.35	39382	
2022-09	1.27	30251	
2022-12	1.3	37172	
2023-03	1.37	35002	
2023-06	1.16	26697	
2023-09	0.98	26773	
2023-12	1	30630	
2024-03	1.08	31333	
2024-06	1.69	38987	
2024-09	1.59	47166	
