month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2024-02	19.52	-0.26	
2024-03	18.85	-0.28	
2024-04	18.95	-0.27	
2024-05	21.2	-0.17	
2024-06	20.65	-0.19	
2024-07	19.93	-0.21	
2024-08	18.84	-0.24	
2024-09	16.63	-0.32	
2024-10	18.83	-0.23	
2024-11	18.22	-0.24	
2024-12	17.09	-0.28	
2025-01	16.03	-0.32	
2025-02	16.14	-0.31	
