month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2008-07	13	1.95	0.02	-40.22	0.82	-42.94	
2008-08	10.45	1.57	-0.17	-66.74	0.45	-67.77	
2008-09	9.15	1.38	-0.27	-74.95	0.28	-74.86	
2008-10	8.29	1.25	-0.34	-82.77	0.16	-83.04	
2008-11	7.29	1.1	-0.41	-85.63	0.01	-85.94	
2008-12	9.79	1.47	-0.2	-62.77	0.35	-62.93	
2009-01	10.92	1.64	-0.11	-39.88	0.49	-40.6	
2009-02	11.1	1.67	-0.08	-25.09	0.5	-24.96	
2009-03	12.01	1.81	0	3.69	0.62	4.18	
2009-04	12.12	1.82	0.01	18.32	0.62	19.05	
2009-05	12.15	1.83	0.02	30.85	0.62	30.61	
2009-06	12.31	1.86	0.04	38.27	0.63	39	
2009-07	12.82	1.93	0.09	56.29	0.68	56.83	
2009-08	13.46	2.01	0.15	75.67	0.73	74.45	
2009-09	14.64	2.2	0.26	88.84	0.88	89.33	
2009-10	16.26	2.45	0.4	93.19	1.06	93.36	
2009-11	18.36	2.76	0.58	96.13	1.3	96.26	
2009-12	18.31	2.75	0.58	88.94	1.25	88.86	
2010-01	19.75	2.97	0.71	95.76	1.4	95.8	
2010-02	20.78	3.12	0.8	95.95	1.48	95.65	
2010-03	21.6	3.25	0.87	92.82	1.54	92.82	
2010-04	25	3.77	1.16	98.75	1.88	98.94	
2010-05	26.21	3.95	1.25	95.18	1.95	94.46	
2010-06	25.44	3.87	1.18	87.69	1.85	88.11	
2010-07	23.15	3.52	0.98	61.53	1.53	62.58	
2010-08	24.97	3.8	1.13	74.68	1.7	76.22	
2010-09	28.04	4.27	1.39	90.13	1.97	91.07	
2010-10	26.5	4.05	1.26	80.64	1.76	81.7	
2010-11	33.06	5.09	1.8	94.28	2.39	95.45	
2010-12	32.61	5.02	1.75	86.41	2.26	86.45	
2011-01	31.02	4.77	1.61	76.69	2.02	76.16	
2011-02	30.67	4.72	1.56	67.68	1.93	68.45	
2011-03	28.96	4.46	1.38	42.55	1.72	43.05	
2011-04	27.02	4.16	1.2	8.69	1.49	9.45	
2011-05	26.09	4.03	1.1	-16.38	1.37	-14.37	
2011-06	23.98	3.69	0.92	-36.82	1.13	-36.48	
2011-07	26.1	4.02	1.06	-25.68	1.28	-25.81	
2011-08	27.37	4.22	1.13	-8.97	1.36	-8.85	
2011-09	26.64	4.1	1.05	-19.01	1.25	-18.84	
2011-10	25.88	3.98	0.97	-42.3	1.15	-42.58	
2011-11	28.21	4.34	1.12	11.2	1.31	12.09	
2011-12	27.69	4.26	1.05	28.33	1.22	28.41	
2012-01	24.16	3.72	0.77	-28.27	0.91	-27.02	
2012-02	24.23	3.73	0.76	-64.91	0.89	-63.66	
2012-03	25.32	3.9	0.82	-61.28	0.94	-61.32	
2012-04	25.08	3.86	0.78	-70.22	0.89	-69.85	
2012-05	27.58	4.25	0.93	-4.71	1.05	-4.18	
2012-06	29.05	4.47	1	46.48	1.12	46.7	
2012-07	32.15	4.95	1.18	73.09	1.3	73.94	
2012-08	34.36	5.29	1.29	84.86	1.4	85.44	
2012-09	34.44	5.3	1.25	88.97	1.37	89.06	
2012-10	35.2	5.42	1.26	93.35	1.37	93.2	
2012-11	32.88	5.06	1.08	66.11	1.17	65.95	
2012-12	32.95	5.08	1.05	53.23	1.13	53.32	
2013-01	37.43	5.76	1.29	84.06	1.37	83.84	
2013-02	39	6.01	1.34	95.24	1.42	95.06	
2013-03	42.23	6.5	1.48	97.62	1.56	97.75	
2013-04	40.24	6.2	1.32	84.67	1.38	84.57	
2013-05	39.53	6.09	1.23	73.58	1.29	73.58	
2013-06	40.81	6.29	1.26	80.78	1.32	80.57	
2013-07	42.68	6.57	1.31	88.66	1.36	88.43	
2013-08	43.42	6.69	1.3	85.88	1.36	85.92	
2013-09	42.26	6.51	1.2	74.95	1.24	75	
2013-10	43.21	6.66	1.2	84.57	1.25	84.33	
2013-11	41.03	6.32	1.05	49.19	1.09	48.81	
2013-12	43.18	6.65	1.12	48.82	1.16	48.54	
2014-01	48.33	7.44	1.32	90.01	1.36	90.01	
2014-02	48.9	7.53	1.3	92.24	1.34	92.02	
2014-03	43.51	6.7	1.01	53.87	1.04	53.7	
2014-04	44.11	6.79	1	44.39	1.03	44.09	
2014-05	47.36	7.29	1.11	78.71	1.14	78.75	
