month	ct_avg_Tdx收盘价	股东人数
1996-12	20.61	21099	
1997-12	32.68	54683	
1998-06	20.18	81829	
1998-12	14.58	97291	
1999-06	12.12	92323	
1999-12	8.96	92520	
2000-12	10.86	78100	
2001-12	8.12	76054	
2002-09	10.73	48640	
2002-12	8.54	47262	
2003-03	9.99	44525	
2003-06	11.86	37274	
2003-09	11.28	35233	
2003-12	13.6	29266	
2004-03	18.9	21333	
2004-06	16.92	19493	
2004-09	16.56	19232	
2004-12	7.71	22445	
2005-03	6.74	23445	
2005-06	6.98	20524	
2005-09	6.74	21710	
2005-12	5.45	25604	
2006-03	5.45	49559	
2006-06	5.87	54065	
2006-09	5.45	54175	
2006-12	7.31	34367	
2007-03	11.98	41045	
2007-06	16.37	72339	
2007-09	20.02	84237	
2007-12	15.77	134038	
2008-03	11.83	204312	
2008-06	8.11	185691	
2008-09	7.96	152432	
2008-12	8.77	144011	
2009-03	10.41	136821	
2009-06	10.59	147339	
2009-09	9.24	127703	
2009-12	9.89	134627	
2010-03	8.83	130615	
2010-06	7.43	127251	
2010-09	7.49	125169	
2010-12	7.46	115988	
2011-03	7.41	112232	
2011-06	7.19	103259	
2011-09	6.19	101126	
2011-12	5.71	103417	
2012-03	6.18	102324	
2012-06	5.85	97997	
2012-09	4.26	95919	
2012-12	5.55	94286	
2013-03	6.15	87878	
2013-06	3.63	97916	
2013-09	3.78	107213	
2013-12	4.06	98770	
2014-03	4.2	93411	
2014-06	5.14	82971	
2014-09	6.48	81389	
2014-12	9.13	122086	
2015-03	10.48	253110	
2015-06	12.98	353386	
2015-09	10.14	468525	
2015-12	8.72	338686	
2016-03	6.61	283858	
2016-06	6.59	264101	
2016-09	6.72	256080	
2016-12	6.76	248440	
2017-03	7.32	231685	
2017-06	7.92	214014	
2017-09	7.4	211767	
2017-12	7.36	197691	
2018-03	7.11	183267	
2018-06	7.51	164986	
2018-09	7.41	158116	
2018-12	7.7	147866	
2019-03	8.29	146662	
2019-06	7.96	140007	
2019-09	9.32	121856	
2019-12	8.79	119995	
2020-03	7.71	119683	
2020-06	7.78	115769	
2020-09	9.19	101747	
2020-12	8.83	103370	
2021-03	9.48	101190	
2021-06	9.6	94795	
2021-09	10.62	93827	
2021-12	10.76	84941	
2022-03	9.71	84684	
2022-06	10.36	78913	
2022-09	11.22	69343	
2022-12	10.51	70393	
2023-03	10.94	68768	
2023-06	12.49	65318	
2023-09	12.22	63902	
2023-12	12.84	63351	
2024-03	14.75	62129	
2024-06	17.9	65372	
2024-09	15.71	69949	
