month	ct_avg_前复权价格	股东人数
1996-12	3.35	21099	
1997-12	5.31	54683	
1998-06	6.56	81829	
1998-12	4.87	97291	
1999-06	4.05	92323	
1999-12	2.99	92520	
2000-12	3.63	78100	
2001-12	2.71	76054	
2002-09	3.59	48640	
2002-12	2.85	47262	
2003-03	3.33	44525	
2003-06	3.96	37274	
2003-09	3.77	35233	
2003-12	4.55	29266	
2004-03	6.3	21333	
2004-06	5.65	19493	
2004-09	5.67	19232	
2004-12	5.16	22445	
2005-03	4.52	23445	
2005-06	5.03	20524	
2005-09	5.76	21710	
2005-12	5.07	25604	
2006-03	5.06	49559	
2006-06	5.58	54065	
2006-09	5.18	54175	
2006-12	6.95	34367	
2007-03	11.39	41045	
2007-06	15.76	72339	
2007-09	21.68	84237	
2007-12	18.21	134038	
2008-03	13.58	204312	
2008-06	9.49	185691	
2008-09	9.31	152432	
2008-12	10.57	144011	
2009-03	12.04	136821	
2009-06	12.72	147339	
2009-09	11.25	127703	
2009-12	11.88	134627	
2010-03	10.62	130615	
2010-06	8.94	127251	
2010-09	9.3	125169	
2010-12	9.26	115988	
2011-03	9.19	112232	
2011-06	8.93	103259	
2011-09	7.71	101126	
2011-12	7.11	103417	
2012-03	7.7	102324	
2012-06	7.97	97997	
2012-09	7.97	95919	
2012-12	10.39	94286	
2013-03	11.53	87878	
2013-06	11.03	97916	
2013-09	11.48	107213	
2013-12	12.33	98770	
2014-03	12.76	93411	
2014-06	15.69	82971	
2014-09	20.25	81389	
2014-12	28.93	122086	
2015-03	33.19	253110	
2015-06	42.75	353386	
2015-09	41.17	468525	
2015-12	28.2	338686	
2016-03	21.39	283858	
2016-06	21.33	264101	
2016-09	22.7	256080	
2016-12	22.83	248440	
2017-03	24.7	231685	
2017-06	26.73	214014	
2017-09	25.64	211767	
2017-12	25.49	197691	
2018-03	24.64	183267	
2018-06	26.02	164986	
2018-09	26.24	158116	
2018-12	27.27	147866	
2019-03	29.36	146662	
2019-06	28.2	140007	
2019-09	33.91	121856	
2019-12	31.96	119995	
2020-03	28.03	119683	
2020-06	28.31	115769	
2020-09	34.35	101747	
2020-12	32.99	103370	
2021-03	35.42	101190	
2021-06	35.87	94795	
2021-09	40.94	93827	
2021-12	41.49	84941	
2022-03	37.22	84684	
2022-06	39.97	78913	
2022-09	43.96	69343	
2022-12	41.16	70393	
2023-03	42.87	68768	
2023-06	48.91	65318	
2023-09	48.88	63902	
2023-12	51.38	63351	
2024-03	59.03	62129	
2024-06	71.61	65372	
2024-09	64.76	69949	
