month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2005-08	2.73	-97.32	
2005-09	2.71	-82.63	
2005-10	2.45	-97.49	
2005-11	2.6	-80.28	
2005-12	2.64	-66.24	
2006-01	2.79	-42.74	
2006-02	2.69	-48.74	
2006-03	2.63	-55.09	
2006-04	2.43	-80.13	
2006-05	2.5	-75.6	
2006-06	2.7	-34.74	
2006-07	2.6	-31.97	
2006-08	2.34	-80.94	
2006-09	2.65	-46	
2006-10	3.1	18.92	
2006-11	3.62	71.96	
2006-12	3.88	85	
2007-01	5.6	92.41	
2007-02	5.53	89.64	
2007-03	6.13	96.32	
2007-04	8.4	100	
2007-05	9.48	100	
2007-06	8.89	97.42	
2007-07	10.16	97.61	
2007-08	16.42	99.03	
2007-09	24.21	98.3	
2007-10	22.44	87.8	
2007-11	22.22	82.55	
2007-12	26.13	94.06	
2008-01	24.99	86.69	
2008-02	21.18	55.48	
2008-03	16.59	22.11	
2008-04	13.22	-8.93	
2008-05	11.54	-33.35	
2008-06	8.49	-52.68	
2008-07	7.86	-60.25	
2008-08	6.06	-82.31	
2008-09	3.52	-89.57	
2008-10	3.35	-90.58	
2008-11	3.24	-86.95	
2008-12	3.56	-77.55	
2009-01	3.42	-82.32	
2009-02	4.39	-52.02	
2009-03	4.75	-35.23	
2009-04	5.78	-7.27	
2009-05	5.4	-7.44	
2009-06	5.29	-0.21	
2009-07	5.93	29.81	
2009-08	6	37.46	
2009-09	5.29	18.91	
2009-10	5.3	13.23	
2009-11	5.92	37.9	
2009-12	5.94	53.34	
2010-01	6.1	58.35	
2010-02	6.27	67.45	
2010-03	7.03	76	
2010-04	8.56	86.47	
2010-05	7.04	71.16	
2010-06	6.7	58.98	
2010-07	6.59	40.26	
2010-08	7.42	75.49	
2010-09	7.83	80.03	
2010-10	10.82	93.75	
2010-11	10.36	86.89	
2010-12	9.28	78.45	
2011-01	9.03	64.91	
2011-02	8.83	48.45	
2011-03	8.39	24.42	
2011-04	8.41	5.83	
2011-05	8.14	-3.75	
2011-06	7.56	-37.37	
2011-07	8.25	-23.64	
2011-08	7.9	-38.66	
2011-09	7.09	-72.2	
2011-10	6.46	-85.66	
2011-11	6.1	-91.79	
2011-12	4.88	-96.23	
2012-01	4.9	-89.46	
2012-02	5.15	-78.13	
2012-03	4.99	-82.71	
2012-04	4.7	-88.97	
2012-05	4.76	-86.86	
2012-06	4.66	-89.64	
2012-07	4.54	-94.93	
2012-08	3.9	-99.57	
2012-09	3.42	-98.3	
2012-10	3.54	-85.32	
2012-11	3.45	-87.87	
2012-12	3.65	-72.32	
2013-01	4	-38.35	
2013-02	3.98	-24.17	
2013-03	3.76	-39.33	
2013-04	3.52	-63.19	
2013-05	3.46	-71.1	
2013-06	3.17	-78.78	
2013-07	2.69	-90.33	
2013-08	2.7	-87.38	
2013-09	2.92	-72.18	
2013-10	2.82	-80.11	
2013-11	2.81	-76.19	
2013-12	2.81	-60.23	
2014-01	2.62	-84.86	
2014-02	2.65	-83.65	
2014-03	2.53	-94.35	
2014-04	2.51	-89.71	
2014-05	2.36	-96.7	
2014-06	2.3	-97.68	
2014-07	2.37	-78.57	
2014-08	2.51	-47.28	
2014-09	2.77	-8.08	
2014-10	2.97	23.26	
2014-11	3.59	55.76	
2014-12	5.19	83.23	
2015-01	5.36	87.77	
2015-02	4.81	78.16	
2015-03	6.76	91.03	
2015-04	9.84	99.23	
2015-05	9.76	89.55	
2015-06	12.97	98.68	
2015-07	11.82	87.62	
2015-08	10.72	74.15	
2015-09	7.81	28.57	
2015-10	8.49	25.32	
2015-11	8.76	17.73	
2015-12	8.35	-8.5	
2016-01	7.35	-33.26	
2016-02	6.6	-46.96	
2016-03	6.23	-58.46	
2016-04	6.29	-68.62	
2016-05	7.02	-47.87	
2016-06	7.08	-33.35	
2016-07	7.98	2.72	
2016-08	7.89	20.3	
2016-09	7.17	-10.71	
2016-10	7.19	-24.44	
2016-11	7.38	-11.44	
2016-12	7.13	-19.64	
2017-01	7.28	-22.22	
2017-02	7.49	9.57	
2017-03	7.85	48.57	
2017-04	8.09	60.76	
2017-05	8.1	61.79	
2017-06	8.86	80.28	
2017-07	8.42	68.96	
2017-08	8.25	60.52	
2017-09	8.62	80.61	
2017-10	8.32	53.31	
2017-11	9.91	90.46	
2017-12	11.42	98.34	
2018-01	11.2	87.58	
2018-02	11.88	93.63	
2018-03	10.99	74.71	
2018-04	10.08	43.35	
2018-05	10.33	37.46	
2018-06	10.02	25.8	
2018-07	7.45	-35.43	
2018-08	6.69	-56.95	
2018-09	6.5	-67.53	
2018-10	5.99	-82.49	
2018-11	6.91	-66.11	
2018-12	7.16	-50.89	
2019-01	7.06	-45.17	
2019-02	7.66	-22.98	
2019-03	8.2	5.65	
2019-04	8.7	29.42	
2019-05	7.32	-6.74	
2019-06	7.33	-26.93	
2019-07	7.52	-5.75	
2019-08	6.72	-44.03	
2019-09	6.79	-53.66	
2019-10	6.72	-61.76	
2019-11	6.76	-60.42	
2019-12	6.83	-61.53	
2020-01	7.01	-33.43	
2020-02	6.02	-86.29	
2020-03	5.64	-96.43	
2020-04	5.2	-97.45	
2020-05	5.11	-96.92	
2020-06	5.26	-85.13	
2020-07	5.52	-62.07	
2020-08	5.67	-44.64	
2020-09	6.13	-7.26	
2020-10	5.84	-8.65	
2020-11	6.02	3.57	
2020-12	6.08	24.96	
2021-01	5.72	-6.83	
2021-02	6.11	17.98	
2021-03	6.63	61.22	
2021-04	6.72	75.09	
2021-05	6.48	68.55	
2021-06	6.24	45.62	
2021-07	5.85	-3.41	
2021-08	5.51	-29.22	
2021-09	5.9	-33.21	
2021-10	6.3	3.46	
2021-11	6.57	41.52	
2021-12	6.36	44.14	
2022-01	7.12	73.92	
2022-02	7.31	76.73	
2022-03	6.58	55.89	
2022-04	6.67	50.56	
2022-05	6.08	3.24	
2022-06	6.64	22.62	
2022-07	6.73	54.13	
2022-08	6.3	-2.21	
2022-09	6.54	3.91	
2022-10	6.54	17.19	
2022-11	7.1	62.78	
2022-12	7.6	81.66	
2023-01	7.7	84.15	
2023-02	7.47	77.32	
2023-03	7.81	87.73	
2023-04	7.92	88.02	
2023-05	6.75	29.33	
2023-06	6.02	-19.69	
2023-07	6.54	-26.7	
2023-08	6.67	-32.69	
2023-09	6.3	-61.16	
2023-10	5.89	-75.47	
2023-11	6.12	-70.82	
2023-12	5.88	-84.95	
2024-01	5.81	-88.15	
2024-02	5.8	-85.52	
2024-03	5.69	-89.33	
2024-04	5.59	-95.58	
2024-05	5.81	-71.29	
2024-06	5.84	-46.95	
2024-07	5.86	-28.18	
2024-08	5.75	-40.91	
2024-09	5.59	-74.58	
2024-10	5.94	-23.16	
2024-11	6.36	32.31	
2024-12	6.8	69.56	
2025-01	6.26	59.48	
2025-02	5.85	43.75	
