month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2024-01	1.88	77.53	
2024-02	1.98	87.63	
2024-03	2	87.12	
2024-04	2.01	91.03	
2024-05	1.91	62.37	
2024-06	1.99	73.97	
2024-07	2.14	91.58	
2024-08	2.05	80.4	
2024-09	2.05	70.86	
2024-10	2.12	85.42	
2024-11	2.08	72.7	
2024-12	2.23	93.02	
2025-01	2.21	86.61	
2025-02	2.18	81.79	
