month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2006-07	10.43	-0.16	
2006-08	5.34	-0.57	
2006-09	4.79	-0.61	
2006-10	5.26	-0.56	
2006-11	5.4	-0.55	
2006-12	7.01	-0.41	
2007-01	9.78	-0.17	
2007-02	10.76	-0.09	
2007-03	11.84	0.01	
2007-04	15.39	0.31	
2007-05	19.12	0.62	
2007-06	16.83	0.43	
2007-07	15.74	0.33	
2007-08	20.17	0.7	
2007-09	21.28	0.78	
2007-10	19.28	0.6	
2007-11	17.59	0.46	
2007-12	18.34	0.52	
2008-01	21.9	0.8	
2008-02	20.15	0.65	
2008-03	18.28	0.49	
2008-04	13.47	0.1	
2008-05	13.83	0.13	
2008-06	9.86	-0.19	
2008-07	10.4	-0.14	
2008-08	8.56	-0.28	
2008-09	7.31	-0.38	
2008-10	6.87	-0.41	
2008-11	6.52	-0.43	
2008-12	7.12	-0.38	
2009-01	7.09	-0.37	
2009-02	8.75	-0.22	
2009-03	9	-0.19	
2009-04	9.46	-0.14	
2009-05	9.22	-0.16	
2009-06	9.98	-0.08	
2009-07	11.03	0.02	
2009-08	11.29	0.05	
2009-09	11.59	0.08	
2009-10	11.84	0.11	
2009-11	13.51	0.28	
2009-12	13.63	0.29	
2010-01	13.54	0.29	
2010-02	12.29	0.17	
2010-03	12.33	0.18	
2010-04	12.01	0.15	
2010-05	10.1	-0.03	
2010-06	9.25	-0.1	
2010-07	8.43	-0.18	
2010-09	14.02	0.36	
2010-10	18.79	0.82	
2010-11	18.86	0.82	
2010-12	20.83	1	
2011-01	19.84	0.89	
2011-02	21.57	1.04	
2011-03	19.98	0.88	
2011-04	18.55	0.73	
2011-05	18.72	0.73	
2011-06	18.96	0.74	
2011-07	20.7	0.87	
2011-08	19.33	0.73	
2011-09	20.13	0.79	
2011-10	18.54	0.63	
2011-11	20.02	0.75	
2011-12	17.97	0.56	
2012-01	16.07	0.39	
2012-02	17.32	0.49	
2012-03	17.7	0.51	
2012-04	17.03	0.44	
2012-05	16.66	0.4	
2012-06	15.31	0.28	
2012-07	15.7	0.3	
2012-08	15.32	0.26	
2012-09	13.3	0.09	
2012-10	12.73	0.04	
2012-11	10.98	-0.1	
2012-12	11.62	-0.05	
2013-01	13.53	0.1	
2013-02	14.38	0.16	
2013-03	13.08	0.05	
2013-04	11.07	-0.12	
2013-05	12.14	-0.03	
2013-06	10.9	-0.14	
2013-07	9.62	-0.24	
2013-08	10.63	-0.16	
2013-09	11.53	-0.1	
2013-10	12.46	-0.03	
2013-11	12.53	-0.03	
2013-12	13.99	0.08	
2014-01	13.08	0.01	
2014-02	12.11	-0.07	
2014-03	11.59	-0.12	
2014-04	12.19	-0.07	
2014-05	12.29	-0.07	
2014-06	11.58	-0.13	
2014-07	12.44	-0.07	
2014-08	14.38	0.07	
2014-09	14.09	0.05	
2014-10	13.54	0	
2014-11	13.86	0.02	
2014-12	14.86	0.09	
2015-01	15	0.09	
2015-02	15.26	0.1	
2015-03	19.33	0.39	
2015-04	22.29	0.58	
2015-05	22.98	0.61	
2015-06	23.04	0.6	
2015-07	17.87	0.23	
2015-08	18.61	0.28	
2016-03	15.64	0.07	
2016-04	16.31	0.12	
2016-05	17.12	0.18	
2016-06	15.97	0.1	
2016-07	8.68	-0.4	
2016-08	8.43	-0.41	
2016-09	8.18	-0.42	
2016-10	8.13	-0.42	
2016-11	8.25	-0.41	
2016-12	8.23	-0.41	
2017-01	8.02	-0.42	
2017-02	8.15	-0.4	
2017-03	8.11	-0.4	
2017-04	8.09	-0.4	
2017-05	7.92	-0.41	
2017-06	8.04	-0.4	
2017-07	8.24	-0.39	
2017-08	7.8	-0.42	
2017-09	7.47	-0.45	
2017-10	7.44	-0.45	
2017-11	7.73	-0.43	
2017-12	7.56	-0.44	
2018-01	8.08	-0.4	
2018-02	7.79	-0.42	
2018-03	7.51	-0.44	
2018-04	7.19	-0.47	
2018-05	7.22	-0.46	
2018-06	6.7	-0.5	
2018-07	6.39	-0.52	
2018-08	6.27	-0.53	
2018-09	5.96	-0.55	
2018-10	5.88	-0.55	
2018-11	6.56	-0.5	
2018-12	7.31	-0.44	
2019-01	7.74	-0.4	
2019-02	9.32	-0.28	
2019-03	12.79	-0.01	
2019-04	14.87	0.15	
2019-05	17.61	0.35	
2019-06	18.76	0.43	
2019-07	19.05	0.44	
2019-08	18.62	0.41	
2019-09	18.25	0.38	
2019-10	19.62	0.49	
2019-11	21.99	0.66	
2019-12	19.82	0.5	
2020-01	20.16	0.53	
2020-02	20.87	0.58	
2020-03	28.13	1.11	
2020-04	33.09	1.46	
2020-05	29.8	1.2	
2020-06	28.38	1.08	
2020-07	31.89	1.32	
2020-08	35.71	1.56	
2020-09	32.1	1.28	
2020-10	28.17	0.99	
2020-11	26.26	0.84	
2020-12	23.7	0.66	
2021-01	23.28	0.62	
2021-02	24.28	0.68	
2021-03	21.59	0.49	
2021-04	18.01	0.24	
2021-05	15.64	0.08	
2021-06	14.4	-0.01	
2021-07	12.83	-0.12	
2021-08	11.75	-0.19	
2021-09	12.71	-0.12	
2021-10	14.41	-0.01	
2021-11	15.3	0.05	
2021-12	14.59	0	
2022-01	16.7	0.14	
2022-02	16.35	0.12	
2022-03	16.49	0.12	
2022-04	15.61	0.06	
2022-05	14.16	-0.04	
2022-06	15.11	0.02	
2022-07	16.69	0.12	
2022-08	15.35	0.03	
2022-09	14.78	-0.01	
2022-10	14.06	-0.06	
2022-11	13.4	-0.1	
2022-12	13.26	-0.11	
2023-01	12.81	-0.14	
2023-02	13.24	-0.12	
2023-03	13.03	-0.13	
2023-04	13.46	-0.1	
2023-05	12.22	-0.19	
2023-06	11.73	-0.22	
2023-07	11.88	-0.21	
2023-08	11.88	-0.2	
2023-09	11.44	-0.23	
2023-10	10.29	-0.31	
2023-11	10.07	-0.32	
2023-12	9.27	-0.37	
2024-01	8.67	-0.41	
2024-02	8.54	-0.41	
2024-03	9.15	-0.36	
2024-04	9.24	-0.35	
2024-05	9.87	-0.3	
2024-06	9.53	-0.32	
2024-07	9.35	-0.33	
2024-08	9.37	-0.33	
2024-09	8.77	-0.37	
2024-10	9.67	-0.3	
2024-11	9.85	-0.29	
2024-12	9.44	-0.32	
2025-01	8.59	-0.38	
2025-02	8.65	-0.37	
