month	ct_avg_前复权价格	人均持股
1994-12	0.77	885	
1995-12	0.84	1143	
1996-12	0.68	1726	
1997-12	0.59	1688	
1998-06	0.97	5800	
1998-12	0.49	1808	
1999-06	0.47	3379	
1999-12	0.49	3588	
2000-06	0.33	2481	
2000-12	0.68	2710	
2001-06	0.43	3010	
2001-09	0.72	3114	
2001-12	1.25	3559	
2002-03	1.39	4499	
2002-06	1.75	3139	
2002-09	1.74	3030	
2002-12	1.55	3533	
2003-03	1.9	4388	
2003-06	1.93	7311	
2003-09	1.71	6548	
2003-12	1.6	6030	
2004-03	2.11	4456	
2004-06	2.1	4818	
2004-09	2.13	4863	
2004-12	2.49	5664	
2005-03	2.54	5395	
2005-06	2.09	5729	
2005-09	2.55	6199	
2005-12	2.56	8019	
2006-03	2.69	5270	
2006-06	3.32	8369	
2006-09	3.55	5801	
2006-12	3.58	5895	
2007-03	14.6	5724	
2007-06	29.01	3381	
2007-09	29.38	2731	
2007-12	33.18	2880	
2008-03	22.7	2391	
2008-06	30.2	2863	
2008-09	20.02	2947	
2008-12	10.55	17484	
2009-03	15.6	12332	
2009-06	20.23	10008	
2009-09	17.19	8073	
2009-12	22.17	10214	
2010-03	21.29	6470	
2010-06	13.03	7467	
2010-09	11.89	7655	
2010-12	12.96	13401	
2011-03	13.07	14066	
2011-06	11.18	13976	
2011-09	10.42	14815	
2011-12	10.18	15347	
2012-03	12.05	17233	
2012-06	13.06	5994337	
2012-09	11.85	6517860	
2012-12	12.16	7040519	
2013-03	15.09	8068054	
2013-06	14	8156230	
2013-09	16.59	8156230	
2013-12	15.44	8627688	
2014-06	12.32	8991506	
2014-09	13.79	9101159	
2014-12	27.97	9755490	
2015-03	29.52	10223219	
2015-06	34.39	7838089	
2015-09	17.63	7713957	
2015-12	21.69	7644773	
2016-03	18.94	7627671	
2016-06	20.92	7493558	
2016-09	22.44	7510063	
2016-12	22.72	7543294	
2017-03	21.57	7610645	
2017-06	21.05	7644773	
2017-09	21.45	22431374	
2017-12	19.47	22284764	
2018-03	17.02	22883012	
2018-06	14.09	22284764	
2018-09	12.71	22579926	
2018-12	13.76	21579549	
2019-03	20.03	21579549	
2019-06	19.45	21046721	
2019-09	22.39	21443829	
2019-12	21.65	21046721	
2020-06	17.94	21309805	
2020-09	21.46	21716999	
2020-12	19.47	21997218	
2021-03	17.74	22730459	
2021-06	17.65	22883012	
2021-09	19.62	22730459	
2021-12	18.79	23037627	
2022-03	16.4	23194346	
2022-06	14.89	22883012	
2022-09	14.68	23194346	
2022-12	14.18	23194346	
2023-03	14.28	23194346	
2023-06	14.97	23194346	
2023-09	16.31	23514268	
2023-12	15.41	23514268	
2024-03	14.69	23194346	
2024-06	13.86	23194346	
2024-09	14.38	24011048	
