month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
1998-09	1.62	82.83	
1998-10	1.56	75.09	
1998-11	1.7	85.8	
1998-12	1.58	71.58	
1999-01	1.54	47.72	
1999-02	1.44	20.02	
1999-03	1.43	-7.88	
1999-04	1.44	-17.37	
1999-05	1.34	-49.64	
1999-06	1.59	-13.31	
1999-07	1.93	57.26	
1999-08	2.14	87.26	
1999-09	2.35	95.17	
1999-10	2.42	93.97	
1999-11	2.61	98.34	
1999-12	2.81	96.64	
2000-01	3.34	98.73	
2000-02	4.23	98.7	
2000-03	4.37	95.73	
2000-04	5.41	98.57	
2000-05	6.11	97.47	
2000-06	6.31	93.95	
2000-07	6.69	97.32	
2000-08	6.78	95.73	
2000-09	6.63	78.4	
2000-10	6.47	60.45	
2000-11	7.24	74.27	
2000-12	8.23	92.69	
2001-01	7.64	80.55	
2001-02	7.34	70.09	
2001-03	7.84	83.36	
2001-04	8	87.76	
2001-05	7.85	77.83	
2001-06	7.48	41.79	
2001-07	8.02	68.18	
2001-08	8.69	93.05	
2001-09	8.49	83.57	
2001-10	9.02	79.76	
2001-11	9.43	90.18	
2001-12	9.38	91.03	
2002-01	9.49	87.05	
2002-02	9.43	86.25	
2002-03	9.4	72.24	
2002-04	9.35	52.48	
2002-05	9.34	46.43	
2002-06	9.59	49.37	
2002-07	9.97	89.25	
2002-08	9.81	79.71	
2002-09	9.84	80.09	
2002-10	9.98	92.96	
2002-11	10	91.03	
2002-12	10.02	87.87	
2003-01	10.03	86.56	
2003-02	9.99	70.24	
2003-03	10.02	74.49	
2003-04	9.95	52.68	
2003-05	9.83	2.32	
2003-06	4.9	-68.24	
2003-07	3.74	-94.84	
2003-08	3.87	-86.44	
2003-09	4.17	-74.55	
2003-10	3.73	-89.68	
2003-11	3.43	-91.7	
2003-12	3.63	-81.64	
2004-01	3.64	-79.6	
2004-02	4.67	-32.37	
2004-03	4.59	-9.9	
2004-04	4.79	12.26	
2004-05	4.27	-5.69	
2004-06	3.69	-31.33	
2004-07	3.67	-48.7	
2004-08	3.23	-66.64	
2004-09	3.41	-53	
2004-10	3.07	-68.08	
2004-11	3.07	-74.19	
2004-12	3.13	-74.49	
2005-01	2.76	-93.13	
2005-02	2.53	-95.19	
2005-03	2.49	-94.14	
2005-04	2.18	-97.87	
2005-05	1.62	-97.69	
2005-06	1.61	-94.2	
2005-07	1.22	-98.04	
2005-08	1.57	-77.13	
2005-09	2.04	-42.94	
2005-10	2.07	-28.07	
2005-11	2.23	-1.91	
2005-12	1.91	-19.16	
2006-01	2.01	-3.68	
2006-02	2.4	27.57	
2006-03	2.3	42.31	
2006-04	2.53	60.94	
2006-05	2.96	80.36	
2006-06	3.26	87.66	
2006-07	3.59	87.46	
2006-08	3.06	70.46	
2006-09	3.28	78.74	
2006-10	3.73	92.96	
2006-11	3.59	84.9	
2006-12	4.1	93.62	
2007-01	7.38	99.64	
2007-02	9.4	97.26	
2007-03	10.64	95.98	
2007-04	11.09	92.69	
2007-05	13.82	98.91	
2007-06	10.79	76.66	
2007-07	10.28	57.83	
2007-08	13.07	84.08	
2007-09	18.17	95.85	
2007-10	18.06	90.18	
2007-11	16.68	77.48	
2007-12	16.35	72.68	
2008-01	20.19	89.69	
2008-02	18.19	80.3	
2008-03	17.18	63.82	
2008-04	11.23	0.98	
2008-05	12.22	-17.41	
2008-06	11.68	-34.11	
2008-07	11.75	-42.43	
2008-08	12.34	-32.1	
2008-09	10.42	-71.99	
2008-10	11.51	-60.13	
2008-11	10.71	-71.79	
2008-12	12.52	-30.09	
2009-01	13.96	3.63	
2009-02	16.97	44.91	
2009-03	19.5	65.46	
2009-04	22.13	81.42	
2009-05	22.86	88.89	
2009-06	22.21	81.17	
2009-07	25.1	93.83	
2009-08	22.75	73.77	
2009-09	24.33	77.23	
2009-10	27.17	95.2	
2009-11	27.98	96.05	
2009-12	26.3	76.09	
2010-01	27.84	85.18	
2010-02	27.47	80.65	
2010-03	27.71	81.83	
2010-04	31.03	92.81	
2010-05	25.84	49.33	
2010-06	25.24	14.1	
2010-07	25.78	-7.79	
2010-08	27.69	29.79	
2010-09	28.3	51.6	
2010-10	34.63	75.95	
2010-11	41	93.42	
2010-12	40.84	92.27	
2011-01	41.67	88.21	
2011-02	42.16	87.68	
2011-03	45.88	94.84	
2011-04	42.76	77.82	
2011-05	36.36	33.76	
2011-06	36.51	11.27	
2011-07	37.96	9.4	
2011-08	35.08	-26.71	
2011-09	31.75	-52.68	
2011-10	26.35	-71.09	
2011-11	24.69	-81.9	
2011-12	21.11	-91.11	
2012-01	23.11	-77.26	
2012-02	24.83	-65.53	
2012-03	23.68	-69.68	
2012-04	22.81	-78.73	
2012-05	23.23	-70.25	
2012-06	22.49	-79.11	
2012-07	20.6	-93.83	
2012-08	19.28	-95.77	
2012-09	16.76	-95.89	
2012-10	17.04	-88.05	
2012-11	16.53	-94.32	
2012-12	17.51	-75.09	
2013-01	19.16	-40.22	
2013-02	20.19	-14.23	
2013-03	18.08	-36.27	
2013-04	16.59	-64.88	
2013-05	16.56	-67.74	
2013-06	14.64	-78.73	
2013-07	12.37	-90.49	
2013-08	12.73	-86.97	
2013-09	13.68	-71.8	
2013-10	13.19	-79.27	
2013-11	12.63	-86.27	
2013-12	12.49	-85.47	
2014-01	11.3	-94.3	
2014-02	11.32	-88.78	
2014-03	10.84	-95.71	
2014-04	10.95	-87.33	
2014-05	11.06	-78.53	
2014-06	10.89	-84.87	
2014-07	12.13	-34.36	
2014-08	13	13.99	
2014-09	13.74	37.97	
2014-10	13.85	43.95	
2014-11	15.85	68.53	
2014-12	21.33	89.56	
2015-01	21.79	84.2	
2015-02	19.69	76.25	
2015-03	23.56	93.43	
2015-04	24.7	94.73	
2015-05	23.65	81.34	
2015-06	26.17	91.84	
2015-07	19.57	37.62	
2015-08	19.3	6.25	
2015-09	20.53	3.17	
2015-10	21.84	14.71	
2015-11	22.6	33.88	
2015-12	21.46	14.95	
2016-01	16.92	-45.49	
2016-02	15.28	-68.45	
2016-03	16.46	-70.61	
2016-04	17.68	-60.71	
2016-05	15.89	-79.46	
2016-06	15.18	-90.22	
2016-07	15.5	-79.34	
2016-08	15.67	-74.18	
2016-09	15.9	-59.69	
2016-10	16.08	-41.29	
2016-11	16.93	-5.24	
2016-12	17.13	13.64	
2017-01	16.47	5.75	
2017-02	18.72	39.04	
2017-03	19.8	66.96	
2017-04	19.65	75.54	
2017-05	17.26	31.56	
2017-06	17.56	16.72	
2017-07	19.27	60.8	
2017-08	19.1	71.78	
2017-09	18.62	53.87	
2017-10	18.44	29.62	
2017-11	18.5	27.27	
2017-12	19.87	48.68	
2018-01	23.16	90.5	
2018-02	21.1	75.65	
2018-03	20.45	64.77	
2018-04	19.69	35.72	
2018-05	21.07	65.3	
2018-06	20.86	60.63	
2018-07	20.21	28.9	
2018-08	21.1	53.69	
2018-09	19.65	0.89	
2018-10	17.11	-48.12	
2018-11	16.86	-67.98	
2018-12	16.69	-82.37	
2019-01	16.31	-89.65	
2019-02	18.34	-58.21	
2019-03	21.28	-2.59	
2019-04	24.05	33.29	
2019-05	21.84	39.06	
2019-06	22.04	45.72	
2019-07	24.03	67.78	
2019-08	22.21	58.4	
2019-09	23.16	69.24	
2019-10	23.44	81.9	
2019-11	22.62	56.21	
2019-12	25.2	81.17	
2020-01	28.22	94.59	
2020-02	25.4	81.87	
2020-03	26.63	82.18	
2020-04	28.24	89.46	
2020-05	30.87	95.63	
2020-06	30.26	88.3	
2020-07	33.25	96.51	
2020-08	32.89	88.48	
2020-09	30.3	60.02	
2020-10	28.99	30.02	
2020-11	26.38	0.34	
2020-12	28.17	-8	
2021-01	28.94	-3.66	
2021-02	33.75	34.05	
2021-03	36.17	68.24	
2021-04	38.12	83.67	
2021-05	35.79	70.14	
2021-06	32.41	40.9	
2021-07	32.07	30.28	
2021-08	33.32	32.26	
2021-09	36.13	61.34	
2021-10	32.4	22.77	
2021-11	31.28	-15.91	
2021-12	31.52	-30.05	
2022-01	31.11	-35.95	
2022-02	29.7	-80.69	
2022-03	27.13	-89.21	
2022-04	27.09	-86.51	
2022-05	26.64	-88.35	
2022-06	27.69	-70.92	
2022-07	28.57	-48.64	
2022-08	28.15	-42.16	
2022-09	26.09	-76.62	
2022-10	24.62	-86.1	
2022-11	26.97	-63.88	
2022-12	28.41	-17.33	
2023-01	29.97	10.27	
2023-02	34.39	46.88	
2023-03	37.79	77.72	
2023-04	37.26	81.77	
2023-05	33.68	59.29	
2023-06	35.22	63.97	
2023-07	38.2	84.61	
2023-08	35.72	63.2	
2023-09	36.6	59.55	
2023-10	33.41	16.44	
2023-11	31.58	-18.3	
2023-12	29.02	-50	
2024-01	30.78	-51.66	
2024-02	33.13	-29.27	
2024-03	34.28	-2.25	
2024-04	38.7	32.9	
2024-05	42.81	55.85	
2024-06	40.72	56.11	
2024-07	37.5	42.16	
2024-08	37.3	41.76	
2024-09	37.33	27.54	
2024-10	43.88	76.09	
2024-11	45.65	84.35	
2024-12	45.32	87.62	
2025-01	43.19	70.73	
