month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2024-03	9.26	0.53	-0.42	-76.23	-0.32	-76.06	
2024-04	8.43	0.48	-0.47	-87.54	-0.38	-87.45	
2024-05	9.92	0.56	-0.38	-58.39	-0.27	-57.95	
2024-06	9.52	0.54	-0.4	-45.25	-0.3	-45.44	
2024-07	9.03	0.52	-0.43	-57.72	-0.32	-56.87	
2024-08	8.89	0.52	-0.43	-72.48	-0.32	-54.51	
2024-09	9.44	0.55	-0.4	-52.11	-0.29	-22.79	
2024-10	11.01	0.64	-0.3	22.32	-0.17	29.27	
2024-11	11.44	0.67	-0.27	43.32	-0.13	48.9	
2024-12	10.87	0.64	-0.3	46.23	-0.17	53.98	
2025-01	9.97	0.58	-0.36	28.47	-0.25	32.29	
2025-02	9.65	0.57	-0.37	6.25	-0.26	16.96	
