month	ct_avg_Tdx收盘价	股东人数
1996-12	59.28	36524	
1997-12	35.66	68951	
1998-12	16.87	90629	
1999-12	15.09	99812	
2000-12	15.13	105636	
2001-12	9.58	87346	
2002-06	8.41	91940	
2002-09	8.62	91047	
2002-12	8.11	90028	
2003-03	8.68	88043	
2003-06	8.78	91624	
2003-09	7.9	88382	
2003-12	8.71	85118	
2004-03	10.3	80185	
2004-06	10.73	64397	
2004-09	10.93	49355	
2004-12	10.27	47118	
2005-03	9.51	48025	
2005-06	9.74	43771	
2005-09	10.7	41121	
2005-12	9.67	40206	
2006-03	10.33	36184	
2006-06	12.32	45789	
2006-09	8.04	56949	
2006-12	11.39	40719	
2007-03	16.62	39777	
2007-06	34.42	29291	
2007-09	44.29	24884	
2007-12	44.08	23095	
2008-03	47.02	18642	
2008-06	34.68	25386	
2008-09	16.07	28270	
2008-12	19.31	24705	
2009-03	23.61	23015	
2009-06	20.38	51013	
2009-09	21.46	50163	
2009-12	27.59	41695	
2010-03	26.74	49887	
2010-06	20.5	112969	
2010-09	14.6	148504	
2010-12	17.88	136453	
2011-03	22.16	80759	
2011-06	22.03	73976	
2011-09	19.8	84743	
2011-12	17.02	89535	
2012-03	20.73	77230	
2012-06	21.58	70923	
2012-09	20.88	64426	
2012-12	24.17	58571	
2013-03	28.13	58045	
2013-06	25.11	71683	
2013-09	26.38	65033	
2013-12	32.3	58820	
2014-03	27.48	96450	
2014-06	29.56	77515	
2014-09	28.84	98671	
2014-12	36.28	71095	
2015-03	41.16	112330	
2015-06	60.54	304768	
2015-09	16.82	380767	
2015-12	21.65	352276	
2016-09	21.88	339957	
2016-12	25.55	396962	
2017-03	29.43	314428	
2017-06	37.35	370059	
2017-09	37.9	363550	
2017-12	43.42	357373	
2018-03	50.99	435187	
2018-06	47.93	459959	
2018-09	37.79	500334	
2018-12	36.58	551582	
2019-03	46.03	438056	
2019-06	52.91	398767	
2019-09	58.33	333472	
2019-12	63.51	308228	
2020-03	55.65	496265	
2020-06	58.55	553857	
2020-09	54.78	625401	
2020-12	63.03	480000	
2021-03	60.22	468644	
2021-06	53.85	714661	
2021-09	39.75	887991	
2021-12	36.17	949288	
2022-03	33.62	926919	
2022-06	32.36	932628	
2022-09	33.64	762163	
2022-12	32.82	743864	
2023-03	36.83	660888	
2023-06	35.75	624381	
2023-09	36.46	573206	
2023-12	32.48	613839	
2024-03	39.25	507379	
2024-06	40.44	481065	
2024-09	41.09	419217	
