month	ct_avg_前复权价格	股东人数
1996-12	1.32	36524	
1997-12	1.47	68951	
1998-12	1.52	90629	
1999-12	1.39	99812	
2000-12	1.48	105636	
2001-12	1.44	87346	
2002-06	1.29	91940	
2002-09	1.34	91047	
2002-12	1.26	90028	
2003-03	1.35	88043	
2003-06	1.37	91624	
2003-09	1.28	88382	
2003-12	1.41	85118	
2004-03	1.66	80185	
2004-06	1.74	64397	
2004-09	1.82	49355	
2004-12	1.71	47118	
2005-03	1.58	48025	
2005-06	1.69	43771	
2005-09	1.86	41121	
2005-12	1.71	40206	
2006-03	2.27	36184	
2006-06	2.72	45789	
2006-09	2.73	56949	
2006-12	3.87	40719	
2007-03	5.65	39777	
2007-06	11.71	29291	
2007-09	15.06	24884	
2007-12	14.78	23095	
2008-03	15.98	18642	
2008-06	11.72	25386	
2008-09	8.27	28270	
2008-12	9.93	24705	
2009-03	12.15	23015	
2009-06	15.15	51013	
2009-09	16.73	50163	
2009-12	21.51	41695	
2010-03	20.85	49887	
2010-06	15.98	112969	
2010-09	17.46	148504	
2010-12	21.44	136453	
2011-03	26.57	80759	
2011-06	26.79	73976	
2011-09	24.07	84743	
2011-12	20.7	89535	
2012-03	25.21	77230	
2012-06	26.24	70923	
2012-09	25.98	64426	
2012-12	30.07	58571	
2013-03	35.01	58045	
2013-06	31.24	71683	
2013-09	34.15	65033	
2013-12	41.78	58820	
2014-03	35.54	96450	
2014-06	39.87	77515	
2014-09	39.2	98671	
2014-12	49.31	71095	
2015-03	55.95	112330	
2015-06	82.28	304768	
2015-09	48.46	380767	
2015-12	62.38	352276	
2016-03	55.38	351779	
2016-06	55.38	351476	
2016-09	67.28	339957	
2016-12	79.27	396962	
2017-03	91.31	314428	
2017-06	115.9	370059	
2017-09	123.01	363550	
2017-12	140.91	357373	
2018-03	165.5	435187	
2018-06	155.56	459959	
2018-09	122.66	500334	
2018-12	118.71	551582	
2019-03	151.34	438056	
2019-06	173.94	398767	
2019-09	197.42	333472	
2019-12	214.06	308228	
2020-03	188.34	496265	
2020-06	200.53	553857	
2020-09	189.19	625401	
2020-12	220.97	480000	
2021-03	211.1	468644	
2021-06	188.79	714661	
2021-09	148.63	887991	
2021-12	135.26	949288	
2022-03	124.04	926919	
2022-06	124.77	932628	
2022-09	138.14	762163	
2022-12	134.78	743864	
2023-03	155.52	660888	
2023-06	150.96	624381	
2023-09	158.14	573206	
2023-12	140.88	613839	
2024-03	170.23	507379	
2024-06	175.39	481065	
2024-09	189.15	419217	
