month	ct_avg_Tdx收盘价	股东人数
2009-11	39.66	84613	
2009-12	39.44	28837	
2010-03	35.54	25779	
2010-06	28.05	21173	
2010-09	29.45	15684	
2010-12	31.87	12322	
2011-03	28.51	11765	
2011-06	16.27	10795	
2011-09	17.21	10920	
2011-12	17.94	9622	
2012-03	19.5	9267	
2012-06	17.33	8673	
2012-09	16.34	8638	
2012-12	15.98	8358	
2013-03	17.46	7987	
2013-06	12.94	9962	
2013-09	11.01	14468	
2013-12	12.07	13362	
2014-03	9.88	20269	
2014-06	10.49	13311	
2014-09	11.44	15644	
2014-12	12.12	14200	
2015-03	16.7	12292	
2015-06	23.45	27550	
2015-09	12.02	23822	
2015-12	14.07	22547	
2016-03	14.81	18556	
2016-06	16.51	22443	
2016-09	16.14	16288	
2016-12	15.07	25215	
2017-03	16.02	15980	
2017-06	17.19	12997	
2017-09	18.83	13835	
2017-12	21.92	13092	
2018-03	23.1	13787	
2018-06	22.79	13371	
2018-09	20.42	11780	
2018-12	23.16	11220	
2019-03	26.94	12885	
2019-06	30.55	12763	
2019-09	33.39	12385	
2019-12	32.83	12026	
2020-03	36.02	13077	
2020-06	46.47	15360	
2020-09	63.33	20622	
2020-12	61.38	23690	
2021-03	74.02	22073	
2021-06	78.05	22267	
2021-09	62.55	26059	
2021-12	69.6	19898	
2022-03	60.18	22047	
2022-06	59.95	21462	
2022-09	58.88	19172	
2022-12	59.72	17975	
2023-03	60.66	23741	
2023-06	47.72	26997	
2023-09	47.57	25345	
2023-12	42.87	23617	
2024-03	43.84	23076	
2024-06	48.39	22663	
2024-09	37.76	26375	
