month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2024-03	25	3.32	-0.37	-73.94	-0.2	-73.9	
2024-04	23.33	3.1	-0.41	-88.17	-0.25	-87.77	
2024-05	24.36	3.24	-0.39	-72.19	-0.22	-71.74	
2024-06	21.8	2.9	-0.45	-89.52	-0.31	-89.47	
2024-07	19.9	2.66	-0.49	-94.84	-0.37	-94.41	
2024-08	19.85	2.66	-0.49	-88.76	-0.37	-88.64	
2024-09	19.58	2.63	-0.49	-91.3	-0.37	-91.54	
2024-10	25.11	3.37	-0.34	-30.41	-0.2	-29.12	
2024-11	27.78	3.72	-0.27	9.91	-0.12	11.82	
2024-12	29.04	3.89	-0.24	36.28	-0.08	39.69	
2025-01	26.17	3.51	-0.31	34.62	-0.18	37.7	
2025-02	28.27	3.79	-0.25	49.11	-0.12	52.68	
