month	ct_avg_前复权价格	人均持股
2008-05	1.01	0	
2008-06	0.93	5198	
2008-09	0.82	10299	
2008-12	0.76	6494	
2009-03	0.92	2800	
2009-06	0.93	3548	
2009-09	1.22	4419	
2009-12	1.71	7598	
2010-03	2.15	7916	
2010-06	3.08	8681	
2010-09	3.61	12924	
2010-12	5.22	12081	
2011-03	4.74	8941	
2011-06	4.38	37901	
2011-09	4.87	36099	
2011-12	4.79	41607	
2012-01	4.39	40560	
2012-03	5.18	43791	
2012-06	6.52	54917	
2012-09	7.45	56082	
2012-12	7.27	59551	
2013-03	8.99	50929	
2013-06	12.9	45496	
2013-09	14.53	47544	
2013-12	12.83	36107	
2014-03	9.3	18173	
2014-06	9.62	20069	
2014-09	9.92	19673	
2014-12	9.28	19947	
2015-03	11.13	24330	
2015-06	14.37	23885	
2015-09	8.28	25021	
2015-12	12.03	24936	
2016-03	8.83	22092	
2016-06	10.27	27470	
2016-09	10.77	31864	
2016-12	9.77	25954	
2017-03	11.68	35888	
2017-04	11.99	53855	
2017-06	13.62	58017	
2017-09	15.08	40551	
2017-12	12.8	31928	
2018-03	10.69	24206.5	
2018-04	9.3	22808	
2018-05	8.48	22332.5	
2018-06	7.93	22833.5	
2018-07	7.16	23639.5	
2018-08	6.29	23962	
2018-09	6.19	24205.67	
2018-10	5.28	24477.5	
2018-11	5.42	24781.67	
2018-12	5.21	24951.33	
2019-01	5.05	25183.5	
2019-02	5.96	25733	
2019-03	7.16	25434	
2019-04	7.55	26672.67	
2019-05	6.15	27479	
2019-06	5.96	26376.5	
2019-07	7.56	29254	
2019-08	9.15	28984	
2019-09	11.63	25951	
2019-10	13.32	25553.67	
2019-11	14.65	25743.5	
2019-12	15.13	23867	
2020-01	16.04	29919.67	
2020-02	17.25	22853	
2020-03	13.85	16639	
2020-04	13.43	15980	
2020-05	15.53	16332.67	
2020-06	18.49	19156.67	
2020-07	24.66	14483	
2020-08	30.27	11440	
2020-09	30.21	12422.67	
2020-10	32.13	14005	
2020-11	31.12	10280.67	
2020-12	28.07	7992.33	
2021-01	29.62	7713	
2021-02	24.72	6913.33	
2021-03	21.53	6824.67	
2021-04	23.91	7955.33	
2021-05	27.63	9534	
2021-06	29.9	9991.67	
2021-07	30	10482	
2021-08	30.97	13377.67	
2021-09	34.28	12335.33	
2021-10	30.92	12286.33	
2021-11	37.01	13737.5	
2021-12	40.16	16512	
2022-01	37.54	16166.5	
2022-02	32.6	14807	
2022-03	27.93	12627	
2022-04	23.79	12482	
2022-05	26.99	13296	
2022-06	27.63	8670	
2022-09	22.93	8211	
2022-10	18.55	7835.5	
2022-11	14.8	6189.5	
2022-12	13.16	5729.5	
2023-01	13.85	5585	
2023-02	16.24	5410	
2023-03	15.64	5744	
2023-04	15.6	5701	
2023-05	13.65	5873	
2023-06	13.71	5875	
2023-07	13.65	5941	
2023-08	12.38	5932	
2023-09	11.7	6067	
2023-10	13.2	6452	
2023-11	13.98	7095	
2023-12	13.93	7711	
2024-01	13.72	7586	
2024-03	13.03	7457	
2024-04	11.66	7271	
2024-05	12.53	8011	
2024-06	13.58	8869	
2024-07	16.18	9866	
2024-08	15.4	10105	
2024-09	14.66	9558	
2024-10	17.49	9626	
2024-11	18.54	9069	
2024-12	20.24	9380.5	
