month	ct_avg_Tdx收盘价	股东人数
2008-05	31.41	7638	
2008-06	29.01	4617	
2008-09	25.52	2913	
2008-12	23.51	4620	
2009-03	28.72	10713	
2009-06	14.23	16913	
2009-09	18.82	13579	
2009-12	26.27	7897	
2010-03	26.69	11370	
2010-06	31.5	10367	
2010-09	36.96	6964	
2010-12	53.39	7450	
2011-03	48.48	10066	
2011-06	24.25	13540	
2011-09	24.81	14216	
2011-12	24.35	13093	
2012-01	22.33	13431	
2012-03	26.31	12440	
2012-06	33.16	10014	
2012-09	37.68	9806	
2012-12	36.81	9221	
2013-03	45.48	10782	
2013-06	36.18	26166	
2013-09	40.75	25039	
2013-12	35.98	32898	
2014-03	26.1	65364	
2014-06	26.9	60266	
2014-09	27.73	61479	
2014-12	25.93	60697	
2015-03	31.12	50231	
2015-06	40.11	51299	
2015-09	23.09	49020	
2015-12	33.56	49244	
2016-03	24.62	57403	
2016-06	28.59	46166	
2016-09	29.93	39645	
2016-12	27.16	48712	
2017-03	32.47	35300	
2017-04	32.33	35173.5	
2017-06	18.84	46884	
2017-09	20.86	67078	
2017-12	17.71	85297	
2018-03	14.79	112602	
2018-04	12.86	119435.5	
2018-05	11.7	121955.5	
2018-06	10.88	119352.5	
2018-07	9.83	115252.5	
2018-08	8.63	113700.33	
2018-09	8.5	112555.67	
2018-10	7.25	111311	
2018-11	7.44	109939.33	
2018-12	7.15	109191.33	
2019-01	6.93	108185	
2019-02	8.18	105882	
2019-03	9.83	107271	
2019-04	10.35	102217.33	
2019-05	8.44	99148	
2019-06	8.12	104122	
2019-07	10.25	94572.33	
2019-08	12.41	95468	
2019-09	15.76	106576.5	
2019-10	18.06	108573	
2019-11	19.86	107440	
2019-12	20.51	114950	
2020-01	21.75	91461.33	
2020-02	23.39	119198	
2020-03	18.77	164028.67	
2020-04	18.21	170381.5	
2020-05	21	166727.33	
2020-06	24.94	143049	
2020-07	33.27	191168.67	
2020-08	40.83	242201.67	
2020-09	40.76	222806.67	
2020-10	43.35	198044	
2020-11	41.99	276638.33	
2020-12	37.87	347091.67	
2021-01	39.96	362729	
2021-02	33.34	403560.67	
2021-03	29.05	408665.67	
2021-04	32.25	354359	
2021-05	37.21	292607.33	
2021-06	40.18	287390	
2021-07	40.32	284071.5	
2021-08	41.62	224064.33	
2021-09	46.07	241737.67	
2021-10	41.56	242542	
2021-11	49.74	220330	
2021-12	53.97	179098.5	
2022-01	50.45	181700	
2022-02	43.81	198374	
2022-03	38	232624	
2022-04	31.97	235331	
2022-05	36.23	221048.5	
2022-06	36.93	346563	
2022-09	30.65	365913	
2022-10	24.8	383685.5	
2022-11	19.79	486927.5	
2022-12	17.6	524569	
2023-01	18.51	538256	
2023-02	21.71	555647	
2023-03	20.9	523319	
2023-04	20.85	527260	
2023-05	18.24	511869	
2023-06	18.23	502193	
2023-07	18.15	496600	
2023-08	16.46	497366	
2023-09	15.56	486286	
2023-10	17.55	457290	
2023-11	18.58	415872	
2023-12	18.52	386707	
2024-01	18.25	397191	
2024-03	17.32	403632	
2024-04	15.5	413998	
2024-05	16.65	375719	
2024-06	17.94	339367	
2024-07	21.39	305098	
2024-08	20.33	297867	
2024-09	19.33	314932	
2024-10	23.06	314331	
2024-11	24.44	333637	
2024-12	26.58	323005.5	
