month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2022-06	43.05	-35.03	
2022-07	43.43	-24.32	
2022-08	39.31	-53.96	
2022-09	35.79	-77.89	
2022-10	52.49	-22.26	
2022-11	52.02	32.34	
2022-12	47.8	35.35	
2023-01	56.13	61.27	
2023-02	61.16	75.8	
2023-03	58.84	71.2	
2023-04	57.73	70.4	
2023-05	56.68	57.28	
2023-06	59.85	80.63	
2023-07	60.92	84.06	
2023-08	56.27	38.7	
2023-09	62.75	76.21	
2023-10	62.68	82.25	
2023-11	68.25	95.82	
2023-12	74	98.77	
2024-01	73.71	88.11	
2024-02	74.69	86.93	
2024-03	78.98	92.64	
2024-04	67.11	46.7	
2024-05	75.66	71.79	
2024-06	71.86	54.32	
2024-07	62.77	-8.54	
2024-08	64.32	-26.79	
2024-09	69.03	-9.07	
2024-10	71.59	14.24	
2024-11	65.8	-28.32	
2024-12	69.06	-19.64	
2025-01	63.15	-47.02	
