month	ct_avg_前复权价格	股东人数
2015-01	0.91	344246	
2015-03	0.83	484267	
2015-06	0.93	426275	
2015-09	0.46	357771	
2015-12	0.55	357880	
2016-03	0.43	348625	
2016-06	0.42	339159	
2016-09	0.44	329930	
2016-12	0.45	331418	
2017-03	0.44	332040	
2017-06	0.4	319402	
2017-09	0.42	324597	
2017-12	0.38	312555	
2018-03	0.36	305542	
2018-06	0.32	299202	
2018-09	0.32	293578	
2018-12	0.31	293094	
2019-03	0.4	333973	
2019-06	0.35	76	
2019-09	0.36	76	
2019-12	0.36	71	
2020-03	0.34	71	
2020-06	0.33	71	
2020-09	0.4	71	
2020-12	0.38	68	
2021-03	0.35	66	
2021-06	0.34	66	
2021-09	0.44	65	
2021-12	0.39	65	
2022-03	0.33	65	
2022-06	0.32	65	
2022-09	0.32	64	
2022-12	0.32	62	
2023-03	0.32	60	
2023-06	0.35	60	
2023-09	0.34	59	
2023-12	0.35	60	
2024-03	0.35	60	
2024-06	0.35	60	
2024-09	0.35	60	
