month	ct_avg_Tdx收盘价	人均持股
2003-03	6.63	5007	
2003-06	8.03	4248	
2003-09	7.77	4644	
2003-12	7.49	4474	
2004-03	9.48	5936	
2004-06	7.24	5574	
2004-09	6.87	5422	
2004-12	6.24	5332	
2005-03	5.04	5838	
2005-06	5.53	5114	
2005-09	5.13	7069	
2005-12	5.07	8209	
2006-03	6.55	12681	
2006-06	14.75	11807	
2006-09	13.8	34364	
2006-12	23.46	41977	
2007-03	40.45	30082	
2007-06	58.58	18090	
2007-09	87.22	21741	
2007-12	86.29	11636	
2008-03	58.17	6023	
2008-06	28.51	8525	
2008-09	19.31	11021	
2008-12	20.55	10700	
2009-03	22.86	13281	
2009-06	27.86	11575	
2009-09	26.39	9126	
2009-12	29.91	10432	
2010-03	27.71	8505	
2010-06	18	12486	
2010-09	11.28	12073	
2010-12	13.09	11438	
2011-03	14.44	11962	
2011-06	12.52	12491	
2011-09	11.95	12938	
2011-12	10.39	8416626	
2012-03	11.97	8664174	
2012-06	13.06	8728353	
2012-09	11.05	8926725	
2012-12	11.49	8926725	
2013-03	13.33	9205685	
2013-06	11.27	9351807	
2013-09	12.23	9205685	
2013-12	12.74	9658424	
2014-03	10.43	10071177	
2014-06	11.37	9901913	
2014-09	13.23	9901913	
2014-12	27.55	10157997	
2015-06	30.49	16752410	
2015-09	14.23	15498828	
2015-12	19.04	14794336	
2016-06	16.07	13642681	
2016-09	16.39	13724866	
2016-12	16.41	13892242	
2017-06	16.64	18850	
2017-09	18.06	19616	
2017-12	18.4	14063751	
2018-03	18.41	14988998	
2018-06	17.7	14698888	
2018-09	16.03	18029	
2018-12	16.87	13892759	
2019-03	24.36	14063751	
2019-06	21.7	14151104	
2019-09	23.49	14151104	
2019-12	23.07	14151104	
2020-06	23.23	13808047	
2020-09	30.49	14511641	
2020-12	29.15	14511641	
2021-02	27.74	14476	
2021-03	24.18	13892242	
2021-06	25.13	13481229	
2021-09	26.36	13561474	
2021-12	25.99	13481229	
2022-06	20.86	16074091	
2022-09	18.75	16273769	
2022-12	20.17	16478471	
2023-03	20.37	16375480	
2023-06	19.92	16582765	
2023-09	22.17	16688388	
2023-12	20.63	16688388	
2024-03	20.62	16688388	
2024-06	18.43	20501	
2024-09	20.17	16478471	
