month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2019-12	31.05	3.27	-0.16	90.95	1.55	90.91	
2020-01	29.69	3.12	-0.18	74.22	1.4	74.16	
2020-02	29	3.05	-0.17	54.29	1.29	54.2	
2020-03	30.22	3.18	-0.11	68.1	1.36	68.55	
2020-04	35.93	3.78	0.08	91.11	1.72	91.07	
2020-05	42.45	4.47	0.31	97.82	2.13	97.77	
2020-06	49.84	5.25	0.56	98.84	2.57	98.88	
2020-07	61.61	6.48	0.93	98.37	3.24	98.37	
2020-08	72.63	7.64	1.26	91.03	3.75	91.03	
2020-09	55.64	5.85	0.73	68.59	2.52	68.59	
2020-10	53.8	5.66	0.68	57.81	2.31	57.87	
2020-11	46.16	4.86	0.45	26.74	1.76	26.83	
2020-12	38.31	4.03	0.21	-5.16	1.25	-5.01	
2021-01	37.8	3.98	0.2	-24.91	1.19	-24.91	
2021-02	47.8	5.03	0.52	-2.62	1.69	-2.56	
2021-03	43.16	4.54	0.37	-14.4	1.38	-14.44	
2021-04	51.6	5.43	0.63	13.56	1.77	13.26	
2021-05	65.04	6.85	1.04	50.65	2.39	50.84	
2021-06	63.01	6.64	0.97	54.42	2.19	54.51	
2021-07	69.83	7.36	1.16	62.91	2.42	62.99	
2021-08	83.73	8.82	1.55	75.08	2.96	75.12	
2021-09	70.86	7.47	1.14	65.62	2.25	65.62	
2021-10	58.26	6.14	0.75	38.73	1.6	38.62	
2021-11	58.09	6.12	0.74	20.25	1.53	20.37	
2021-12	61.83	6.51	0.84	26.67	1.64	26.71	
2022-01	54.67	5.76	0.61	-12.88	1.28	-12.59	
2022-02	49.48	5.21	0.45	-40.96	1.03	-41.01	
2022-03	49.61	5.29	0.45	-52.44	1.02	-49.3	
2022-04	54.26	5.72	0.59	-38.63	1.14	-39.43	
2022-05	48.85	5.15	0.42	-73.07	0.89	-75.52	
2022-06	46.6	4.91	0.36	-81.63	0.78	-83.16	
2022-07	45.71	4.82	0.33	-87.07	0.72	-86.78	
2022-08	42.96	4.53	0.25	-91.3	0.6	-91.19	
2022-09	39.8	4.19	0.15	-97.19	0.45	-97.24	
2022-10	38.96	4.11	0.13	-91.18	0.41	-91.29	
2022-11	43.13	4.55	0.25	-68.75	0.54	-68.55	
2022-12	40.04	4.22	0.16	-81.74	0.41	-81.58	
2023-01	40	4.21	0.16	-85.21	0.39	-85.6	
2023-02	39.03	4.11	0.13	-90.27	0.34	-90.31	
2023-03	37.35	3.94	0.08	-93.09	0.28	-93.25	
2023-04	34.01	3.58	-0.01	-97.65	0.15	-97.79	
2023-05	29.98	3.16	-0.12	-99.11	0.01	-99.11	
2023-06	26.91	2.84	-0.21	-99.28	-0.1	-99.33	
2023-07	26.54	2.8	-0.22	-91.58	-0.12	-91.33	
2023-08	25.63	2.7	-0.24	-91.15	-0.16	-90.88	
2023-09	23.62	2.49	-0.3	-94.78	-0.23	-95.04	
2023-10	23.31	2.46	-0.3	-90.86	-0.24	-90.86	
2023-11	23.88	2.52	-0.28	-82.22	-0.22	-81.98	
2023-12	22.72	2.4	-0.31	-90.01	-0.26	-89.8	
2024-01	20.47	2.16	-0.38	-97.28	-0.33	-96.88	
2024-02	17.53	1.85	-0.46	-95.15	-0.43	-95.15	
2024-03	17.4	1.83	-0.46	-92.35	-0.44	-92.48	
2024-04	14.64	1.54	-0.54	-98.57	-0.53	-98.53	
2024-05	14.31	1.51	-0.55	-94.2	-0.54	-93.84	
2024-06	12.09	1.28	-0.62	-99.43	-0.61	-99.34	
2024-07	11.22	1.18	-0.64	-95.85	-0.64	-95.73	
2024-08	10.97	1.16	-0.65	-92.77	-0.64	-92.09	
2024-09	10.54	1.11	-0.66	-95.16	-0.66	-94.69	
2024-10	15.32	1.61	-0.5	-40.28	-0.51	-40.63	
2024-11	15.24	1.61	-0.51	-18.45	-0.51	-18.49	
2024-12	13.52	1.43	-0.56	-27.76	-0.56	-27.84	
2025-01	11.44	1.21	-0.63	-56.55	-0.63	-56.9	
