month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2020-12	51.72	0.65	
2021-01	54.61	0.72	
2021-02	49.68	0.55	
2021-03	38.88	0.21	
2021-04	34.49	0.06	
2021-05	36.14	0.11	
2021-06	39.35	0.2	
2021-07	36.38	0.1	
2021-08	39.69	0.19	
2021-09	35.22	0.05	
2021-10	33.9	0.01	
2021-11	35.86	0.06	
2021-12	40.59	0.19	
2022-01	39.63	0.15	
2022-02	36.6	0.06	
2022-03	34.67	0	
2022-04	29.97	-0.14	
2022-05	31.43	-0.11	
2022-06	32.22	-0.09	
2022-07	31.59	-0.12	
2022-08	32.43	-0.1	
2022-09	27.85	-0.23	
2022-10	27.95	-0.23	
2022-11	29.43	-0.19	
2022-12	27.77	-0.24	
2023-01	28.47	-0.22	
2023-02	33.81	-0.08	
2023-03	41.22	0.11	
2023-04	73.6	0.95	
2023-05	86.64	1.25	
2023-06	132.41	2.34	
2023-07	140.67	2.44	
2023-08	123.5	1.94	
2023-09	106.43	1.48	
2023-10	97.81	1.23	
2023-11	97.6	1.18	
2023-12	109.77	1.4	
2024-01	105.78	1.27	
2024-02	138.16	1.89	
2024-03	166.58	2.39	
2024-04	168.09	2.31	
2024-05	169.91	2.25	
2024-06	140.3	1.62	
2024-07	140.07	1.55	
2024-08	116.07	1.08	
2024-09	113.41	1	
2024-10	158.03	1.72	
2024-11	138.27	1.33	
2024-12	129.18	1.13	
2025-01	120.64	0.96	
2025-02	105.83	0.69	
