month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2009-04	4.38	0.75	-0.53	-5.31	-0.01	-1.36	
2009-05	4.63	0.79	-0.5	9.56	0.04	15.08	
2009-06	5.13	0.88	-0.44	26.83	0.16	30.4	
2009-07	5.37	0.92	-0.4	43.21	0.21	46.47	
2009-08	4.63	0.81	-0.48	29.7	0.07	36.52	
2009-09	4.72	0.81	-0.45	28.04	0.07	29.95	
2009-10	4.7	0.8	-0.45	22.88	0.05	20.15	
2009-11	5.05	0.87	-0.39	41.65	0.14	43.54	
2009-12	5.13	0.88	-0.37	51.79	0.16	48.95	
2010-01	5.25	0.9	-0.35	55.04	0.18	54.55	
2010-02	4.73	0.81	-0.41	11.91	0.07	5.65	
2010-03	4.83	0.83	-0.39	-1.99	0.09	-7.61	
2010-04	4.85	0.83	-0.38	-1.83	0.08	2.64	
2010-05	3.98	0.68	-0.48	-59.07	-0.12	-54.95	
2010-06	3.36	0.57	-0.56	-78.95	-0.26	-80.59	
2010-07	2.94	0.5	-0.61	-87.03	-0.35	-86.45	
2010-08	3.07	0.52	-0.58	-81.04	-0.32	-78.65	
2010-09	3.04	0.52	-0.58	-75.94	-0.32	-75.47	
2010-10	3.33	0.57	-0.54	-59.21	-0.26	-63	
2010-11	3.42	0.58	-0.52	-49.11	-0.24	-48.95	
2010-12	3.36	0.57	-0.52	-39.71	-0.25	-40.41	
2011-01	3.05	0.52	-0.56	-71.47	-0.32	-69.95	
2011-02	3.05	0.52	-0.55	-71.37	-0.32	-70.89	
2011-03	3.29	0.56	-0.51	-36.3	-0.26	-37	
2011-04	3.25	0.56	-0.51	-20.63	-0.27	-19.64	
2011-05	3.14	0.54	-0.52	-53.88	-0.3	-53.49	
2011-06	2.88	0.53	-0.56	-75.77	-0.31	-65.94	
2011-07	2.61	0.54	-0.59	-85.12	-0.3	-37.24	
2011-08	2.38	0.49	-0.62	-93.17	-0.36	-72.94	
2011-09	2.2	0.45	-0.65	-97.28	-0.42	-87.08	
2011-10	2.18	0.45	-0.64	-93.19	-0.42	-88	
2011-11	2.15	0.44	-0.64	-91.71	-0.42	-87.82	
2011-12	1.83	0.38	-0.69	-99.88	-0.5	-96.1	
2012-01	1.74	0.36	-0.7	-92.44	-0.53	-91.67	
2012-02	1.87	0.38	-0.67	-78.75	-0.5	-79.87	
2012-03	1.91	0.39	-0.66	-73.13	-0.49	-72.2	
2012-04	1.84	0.38	-0.67	-82.25	-0.49	-78.83	
2012-05	1.78	0.36	-0.67	-91.07	-0.52	-86.77	
2012-06	1.88	0.38	-0.64	-61.03	-0.49	-57.63	
2012-07	1.83	0.37	-0.64	-61.28	-0.5	-60.96	
2012-08	1.75	0.36	-0.65	-88.51	-0.51	-77.91	
2012-09	1.88	0.38	-0.61	-51.29	-0.47	-42.37	
2012-10	2.04	0.42	-0.56	9.03	-0.42	5.26	
2012-11	2.16	0.44	-0.53	39.45	-0.38	30.76	
2012-12	2.19	0.45	-0.51	55.18	-0.37	47.07	
2013-01	2.36	0.48	-0.47	76.12	-0.32	73.84	
2013-02	2.33	0.48	-0.47	75.06	-0.32	76.37	
2013-03	2.41	0.49	-0.44	84.18	-0.3	82.57	
2013-04	2.43	0.5	-0.43	85.27	-0.29	82.89	
2013-05	2.53	0.52	-0.4	88.68	-0.26	85.59	
2013-06	2.44	0.5	-0.41	80.67	-0.29	79.94	
2013-07	2.23	0.46	-0.46	39.66	-0.34	39.91	
2013-08	2.17	0.45	-0.47	8.44	-0.36	3.21	
