month	ct_avg_Tdx收盘价	人均持股
2020-07	77.04	1166	
2020-12	57.28	436680	
2021-03	55.9	447411	
2021-06	57.25	467952	
2021-12	53.86	477881	
2022-06	45.02	481469	
2022-12	41.63	484798	
2023-06	53.36	492779	
2023-09	51.83	495388	
2023-12	53.33	498535	
2024-03	46.65	499958	
2024-06	47.04	503459	
2024-09	45.7	505921	
