month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2022-08	0.5	-87.23	
2022-09	0.47	-93.67	
2022-10	0.46	-88.84	
2022-11	0.5	-63.68	
2022-12	0.5	-44.24	
2023-01	0.5	-32.76	
2023-02	0.51	-7.81	
2023-03	0.57	23.49	
2023-04	0.73	62.74	
2023-05	0.65	63.7	
2023-06	0.64	67.37	
2023-07	0.6	47.02	
2023-08	0.59	33.46	
2023-09	0.63	48.3	
2023-10	0.66	65.55	
2023-11	0.66	73.74	
2023-12	0.64	62.12	
2024-01	0.57	1.95	
2024-02	0.54	-35.65	
2024-03	0.56	-43.03	
2024-04	0.51	-76.43	
2024-05	0.52	-77.99	
2024-06	0.57	-46.48	
2024-07	0.58	-20.89	
2024-08	0.58	-1.66	
2024-09	0.55	-35.2	
2024-10	1.02	59.62	
2024-11	1.13	82.27	
2024-12	1.08	85.23	
2025-01	1.15	90.58	
