month	ct_avg_前复权价格	人均持股
1995-12	0.44	162431	
1997-12	1.25	1603	
1998-12	1.27	42089	
1999-12	1.31	3395	
2000-12	2.16	23751	
2001-12	1.73	7145	
2002-06	1.87	7867	
2002-09	1.93	7781	
2002-12	1.64	7802	
2003-03	1.63	7911	
2003-06	1.77	8018	
2003-09	1.52	8218	
2003-12	1.33	8218	
2004-03	1.6	9235	
2004-06	1.56	9073	
2004-09	1.3	9166	
2004-12	1.41	8920	
2005-03	1.46	9248	
2005-06	1.06	8867	
2005-09	1.1	9032	
2005-12	0.88	9026	
2006-03	0.98	9508	
2006-06	1.29	9581	
2006-09	1.27	6072	
2006-12	1.32	10812	
2007-03	2.34	9424	
2007-06	5.08	10287	
2007-09	7.03	9384	
2007-12	7.27	9333	
2008-03	6.49	8644	
2008-06	4.02	8594	
2008-09	3.35	8937	
2008-12	3.77	9551	
2009-03	4.34	10039	
2009-06	5.84	10661	
2009-09	6.42	10979	
2009-12	8.52	10395	
2010-03	8.83	11337	
2010-06	9.02	12312	
2010-09	9.43	12779	
2010-12	9.03	14091	
2011-03	8.29	13748	
2011-06	6.02	13855	
2011-09	5.59	12950	
2011-12	5.01	12928	
2012-03	4.82	13638	
2012-06	5.91	13527	
2012-09	6.16	13500	
2012-12	7.45	15816	
2013-03	10.42	18527	
2013-06	9.17	6997	
2013-09	9.37	6701	
2013-12	8.72	21683	
2014-03	10.6	55996677	
2014-06	10.9	37331118	
2014-09	11.9	37331118	
2014-12	11.52	37331118	
2015-03	12.63	37331118	
2015-09	16.15	36397840	
2015-12	15.85	36397840	
2016-03	12.76	36397840	
2016-06	13.56	36397840	
2016-09	16.1	29118272	
2016-12	17.69	29118272	
2017-03	16.86	24265227	
2017-06	20.03	18198920	
2017-09	19.75	18926877	
2017-12	26.91	21029863	
2018-03	29.37	21029863	
2018-06	25.72	20504117	
2018-09	19.03	20504117	
2018-12	15.14	18926877	
2019-03	19.03	14473494	
2019-06	16.63	12302470	
2019-09	20.22	14539283	
2019-12	22.55	13327676	
2020-03	26.79	13907140	
2020-06	33.05	6961716.5	
2020-07	37.96	14109.5	
2020-09	36.2	13907140	
2020-11	33.99	11638	
2020-12	32.05	6959085	
2021-02	27.52	9392	
2021-03	28.73	13907140	
2021-05	36.75	11889	
2021-06	37.87	6531176	
2021-08	31.29	10173	
2021-09	30.59	6530686.5	
2021-11	27.68	8685	
2021-12	29.05	13051484	
2022-01	29.97	9657.67	
2022-02	28.88	9629	
2022-03	29.05	4182825.67	
2022-06	27.54	12909634	
2022-09	24.49	12909634	
2022-12	27.68	13470922	
2023-03	28.05	13470922	
2023-06	30.93	13470922	
2023-09	29.4	14083237	
2023-12	28.54	7383298.5	
2024-03	31.84	14753867	
2024-06	32.31	14621544	
2024-09	31.34	14621544	
