month	ct_avg_Tdx收盘价	股东人数
1993-12	10.92	81392	
1994-12	4.93	65490	
1995-12	4.77	60749	
1996-12	13.85	84928	
1997-12	27.75	220366	
1998-12	17.24	273451	
1999-06	19.11	240717	
1999-12	16.06	250968	
2000-12	21.19	207098	
2001-09	15.71	280239	
2001-12	15.62	281626	
2002-03	16.15	280637	
2002-06	12.54	296602	
2002-09	11.34	300011	
2002-12	9.81	295516	
2003-03	9.66	289744	
2003-06	9.76	286319	
2003-09	8.75	281951	
2003-12	8.49	279512	
2004-03	9.62	270215	
2004-06	8.67	268619	
2004-09	5.4	267685	
2004-12	5.42	267617	
2005-03	4.96	265260	
2005-06	4.75	262683	
2005-09	4.4	256442	
2005-12	3.94	252307	
2006-03	4.79	235831	
2006-06	4.5	239495	
2006-09	4.62	212803	
2006-12	7.57	165528	
2007-03	10.73	163989	
2007-06	15.92	117597	
2007-09	25.79	92940	
2007-12	19.85	151880	
2008-03	17	150567	
2008-06	9.84	182154	
2008-09	8.84	163732	
2008-12	9.57	149271	
2009-03	9.51	174364	
2009-06	13.19	118412	
2009-09	15.96	93841	
2009-12	24.26	86110	
2010-03	20.98	97014	
2010-06	19.69	94107	
2010-09	22.46	70117	
2010-12	26.64	53949	
2011-03	29.71	55669	
2011-06	26.36	59825	
2011-09	10.06	109452	
2011-12	8.56	116193	
2012-03	11.29	109354	
2012-06	11.88	94403	
2012-09	10.79	90224	
2012-12	12.21	77931	
2013-03	12.7	80588	
2013-06	11.62	82004	
2013-09	12.84	72651	
2013-12	18.94	64787	
2014-03	16.75	73003	
2014-06	14.84	82004	
2014-09	16.58	83359	
2014-12	18.56	81217	
2015-03	22.41	85489	
2015-06	30.35	175501	
2015-09	9.77	219418	
2016-03	8.56	214152	
2016-06	8.97	202077	
2016-09	10.36	184106	
2016-12	10.1	194139	
2017-03	11.34	167512	
2017-06	14.65	164612	
2017-09	14.3	138077	
2017-12	18.51	172905	
2018-03	19.5	202628	
2018-06	20.16	160035	
2018-09	15.5	175161	
2018-12	14.05	173027	
2019-03	16.69	172948	
2019-06	16.49	164863	
2019-09	15.7	168418	
2019-12	18.2	142465	
2020-03	15.99	174731	
2020-06	17.01	161351	
2020-09	21.83	142184	
2020-12	27.3	160301	
