month	ct_avg_Tdx收盘价	股东人数
2005-06	9.5	12335	
2005-09	11.33	12495	
2005-12	8.31	13946	
2006-03	7.52	13047	
2006-06	9.72	9499	
2006-09	11.12	7516	
2006-12	11.72	8780	
2007-03	14.55	9171	
2007-06	13.57	9362	
2007-09	13.47	9826	
2007-12	14.51	10804	
2008-03	13.1	13768	
2008-06	8.05	13647	
2008-09	7.2	14139	
2008-12	4.76	16522	
2009-03	6.52	21216	
2009-06	8.12	17966	
2009-09	8.64	17208	
2009-12	10.44	17628	
2010-03	12.34	24274	
2010-06	12.99	18913	
2010-09	14	17645	
2010-12	25.57	16252	
2011-03	26.06	15976	
2011-06	19.82	15549	
2011-09	20.18	13507	
2011-12	19.97	11541	
2012-03	20.03	11207	
2012-06	22.15	10235	
2012-09	23.54	11042	
2012-12	20.2	11445	
2013-03	26.19	9860	
2013-06	28.15	14496	
2013-09	37.22	13414	
2013-12	49.37	14959	
2014-03	41.83	17876	
2014-06	33.89	22253	
2014-09	30.46	26044	
2014-12	27.86	28023	
2015-03	35.39	23117	
2015-06	54.73	31720	
2015-09	29.99	25299	
2015-12	60.47	34842	
2016-03	44.53	57087	
2016-06	42.61	48211	
2016-09	36.75	48347	
2016-12	32.63	46982	
2017-09	31.6	68926	
2017-10	33.76	63766	
2017-12	48.73	113915	
2018-02	37.33	107975	
2018-03	48.36	96322	
2018-04	51.69	123333.5	
2018-05	52.22	135314	
2018-06	44.5	132146	
2018-07	46.03	128194.67	
2018-08	44.37	122568.33	
2018-09	38.78	123190.33	
2018-10	32.6	122084.5	
2018-11	32.71	120160	
2018-12	31.38	116878.5	
2019-02	34.79	109408	
2019-03	40.94	101667	
2019-04	45.27	94078.33	
2019-05	40.41	96423.5	
2019-06	44.58	109478	
2019-07	44.71	105612.33	
2019-08	48.99	96545.67	
2019-09	56.41	99216	
2019-10	51.13	99535.67	
2019-11	46.39	106646	
2019-12	49.85	104034.33	
2020-01	53.8	102983	
2020-02	58.65	95846	
2020-03	54.7	101829.33	
2020-04	59.13	100002.33	
2020-05	69.14	112497.33	
2020-06	68.04	133951.67	
2020-07	118.99	151972	
2020-08	135.03	152325.33	
2020-09	116.95	136004.33	
2020-10	115.87	133100.67	
2020-11	103.36	141416.33	
2020-12	117.46	112327.67	
2021-01	134.97	98200.67	
2021-02	114.65	104816.67	
2021-03	105.12	111418	
2021-04	108.83	107467	
2021-05	127.75	90668	
2021-06	142.56	82326	
2021-07	168	70059	
2021-08	204.64	58922	
2021-09	210.53	62384.33	
2021-10	200.39	64402.33	
2021-11	215.29	61149.67	
2021-12	217.39	57373.67	
2022-01	217.16	51097	
2022-02	201.32	56600.33	
2022-03	209.8	51067.5	
2022-04	178.59	54089	
2022-05	185.54	57208.5	
2022-06	190.87	58625	
2022-07	209.01	49720.33	
2022-08	211.28	47962	
2022-09	155.46	54399	
2022-10	153.47	52015.33	
2022-11	147.03	66636	
2022-12	131.84	79105.25	
2023-01	126.06	91793	
2023-02	119.21	117308.33	
2023-03	106.88	162409.33	
2023-04	112.7	221020	
2023-05	95.25	206925.33	
2023-06	89.52	199586	
2023-07	92.28	192992.33	
2023-08	90.68	180329	
2023-09	89.87	178456.33	
2023-11	76.22	178056	
2023-12	66.81	176208	
2024-01	58.91	172215	
2024-02	56.45	171789	
2024-03	69.31	203212	
2024-04	60.66	194809.5	
2024-05	56.98	198323	
2024-06	56.4	209117	
2024-07	51.96	202857	
2024-08	48.68	199713.5	
2024-09	48.26	197111	
2024-10	68.25	240164.5	
2024-11	68.19	230598	
2024-12	66.52	228657	
2025-01	59.6	219378	
