month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2020-11	30	3.09	
2020-12	35.89	3.67	
2021-01	42	4.19	
2021-02	43.01	4.05	
2021-03	33.55	2.8	
2021-04	36.49	2.97	
2021-05	40.75	3.25	
2021-06	46.64	3.65	
2021-07	42.24	3.04	
2021-08	37.88	2.5	
2021-09	39.09	2.5	
2021-10	41.44	2.58	
2021-11	35.95	2.02	
2021-12	32.4	1.65	
2022-01	28.82	1.31	
2022-02	24.62	0.94	
2022-03	23.78	0.84	
2022-04	24.19	0.84	
2022-05	21.01	0.58	
2022-06	24.37	0.8	
2022-07	28.66	1.08	
2022-08	25.88	0.85	
2022-09	23.74	0.67	
2022-10	21.2	0.47	
2022-11	23.39	0.6	
2022-12	23.6	0.59	
2023-01	28.47	0.89	
2023-02	29.16	0.9	
2023-03	26.93	0.73	
2023-04	24.62	0.56	
2023-05	22.01	0.37	
2023-06	17.86	0.11	
2023-07	16.28	0	
2023-08	16.64	0.02	
2023-09	16.19	-0.02	
2023-10	16.51	0	
2023-11	16.88	0.01	
2023-12	13.9	-0.17	
2024-01	12.21	-0.27	
2024-02	10.7	-0.37	
2024-03	12.13	-0.28	
2024-04	13.66	-0.2	
2024-05	14.46	-0.16	
2024-06	13.39	-0.22	
2024-07	12.7	-0.27	
2024-08	13.29	-0.24	
2024-09	13.19	-0.24	
2024-10	16.91	-0.04	
2024-11	16.43	-0.07	
2024-12	15.75	-0.12	
2025-01	12.87	-0.28	
