month	ct_avg_Tdx收盘价	人均持股
2001-12	14.72	9329	
2002-06	12.73	8683	
2002-09	12.86	8649	
2002-12	10.02	8598	
2003-03	11.68	8433	
2003-06	10.61	10199	
2003-09	10.93	10232	
2003-12	13.95	9485	
2004-03	16.24	8954	
2004-06	13	30877	
2004-09	8.97	23613	
2004-12	7.39	21256	
2005-03	6.91	20390	
2005-06	4.22	24200	
2005-09	3.29	35027	
2005-12	2.08	35623	
2006-03	3.14	36164	
2006-06	3.23	36431	
2006-09	3.02	36002	
2006-12	2.71	35597	
2007-03	4.94	35135	
2007-06	6.38	33029	
2007-09	9.94	34162	
2007-12	11.59	34633	
2008-03	10.76	22979	
2008-06	6.86	30806	
2008-09	3.33	19840	
2008-12	2.93	28497	
2009-03	3.74	28123	
2009-06	5.13	27498	
2009-09	4.72	27060	
2009-12	5.13	27867	
2010-03	4.83	27915	
2010-06	3.36	27852	
2010-09	3.04	27348	
2010-12	3.36	27708	
2011-03	3.29	27929	
2011-06	2.88	33371	
2011-09	2.2	33009	
2011-12	1.83	33040	
2012-03	1.91	33055	
2012-06	1.88	28875	
2012-09	1.88	34971	
2012-12	2.19	35418	
2013-03	2.41	34511	
2013-06	2.44	36250	
2013-09	2.15	35905	
2013-12	2.12	35298	
2014-03	2.28	36595	
2014-06	2.17	36029	
2014-09	2.38	38997	
2014-12	3.16	37783	
2015-03	3.57	36735	
2015-06	5.23	29524	
2015-09	2.99	25168	
2015-12	3	25320	
2016-03	2.53	25140	
2016-06	2.32	25254	
2016-09	2.39	25910	
2016-12	2.85	26623	
2017-03	3.28	28580	
2017-05	4	34014	
2017-06	4.01	30149	
2017-07	4.01	26124	
2017-08	3.84	33296	
2017-09	4.02	25102	
2017-11	6.12	26011	
2017-12	5.71	25509	
2018-01	6.14	25588	
2018-02	5.56	24838	
2018-03	5.69	24569	
2018-04	4.88	24573	
2018-05	4.33	24301	
2018-06	3.79	24131	
2018-07	3.55	24467	
2018-08	3.55	24641	
2018-09	3.23	23728	
2018-11	2.83	24292	
2018-12	2.71	23718	
2019-03	4.02	23582	
2019-05	3.43	22652.5	
2019-06	3.42	23289	
2019-08	3.84	23403	
2019-09	3.88	23404	
2019-10	3.7	23385	
2019-12	4.37	23507	
2020-01	4.86	29714.5	
2020-02	4.94	26928	
2020-03	4.44	23255	
2020-06	4.5	23261	
2020-09	5.23	23642	
2020-12	5.44	24348	
2021-03	6.18	25209	
2021-06	6.2	24894	
2021-09	5.6	24537	
2021-12	4.99	24524	
2022-03	4.41	24990	
2022-06	3.83	27157	
2022-09	3.47	21348	
2022-12	3.51	21439	
2023-03	4.25	27918	
2023-06	4	21580	
2023-09	3.9	21659	
2023-12	3.78	21802	
2024-03	4.03	21948	
2024-06	4.07	22114	
2024-09	3.86	22233	
