month	ct_avg_前复权价格	人均持股
2001-12	0.65	9329	
2002-06	0.56	8683	
2002-09	0.57	8649	
2002-12	0.45	8598	
2003-03	0.52	8433	
2003-06	0.54	10199	
2003-09	0.58	10232	
2003-12	0.74	9485	
2004-03	0.87	8954	
2004-06	0.91	30877	
2004-09	0.72	23613	
2004-12	0.59	21256	
2005-03	0.55	20390	
2005-06	0.34	24200	
2005-09	0.39	35027	
2005-12	0.36	35623	
2006-03	0.54	36164	
2006-06	0.55	36431	
2006-09	0.51	36002	
2006-12	0.46	35597	
2007-03	0.85	35135	
2007-06	1.09	33029	
2007-09	1.72	34162	
2007-12	1.98	34633	
2008-03	1.84	22979	
2008-06	1.17	30806	
2008-09	0.57	19840	
2008-12	0.5	28497	
2009-03	0.64	28123	
2009-06	0.88	27498	
2009-09	0.81	27060	
2009-12	0.88	27867	
2010-03	0.83	27915	
2010-06	0.57	27852	
2010-09	0.52	27348	
2010-12	0.57	27708	
2011-03	0.56	27929	
2011-06	0.53	33371	
2011-09	0.45	33009	
2011-12	0.38	33040	
2012-03	0.39	33055	
2012-06	0.38	28875	
2012-09	0.38	34971	
2012-12	0.45	35418	
2013-03	0.49	34511	
2013-06	0.5	36250	
2013-09	0.44	35905	
2013-12	0.43	35298	
2014-03	0.47	36595	
2014-06	0.45	36029	
2014-09	0.49	38997	
2014-12	0.65	37783	
2015-03	0.73	36735	
2015-06	1.07	29524	
2015-09	0.61	25168	
2015-12	0.62	25320	
2016-03	0.52	25140	
2016-06	0.48	25254	
2016-09	0.49	25910	
2016-12	0.59	26623	
2017-03	0.68	28580	
2017-05	0.83	34014	
2017-06	0.83	30149	
2017-07	0.83	26124	
2017-08	0.8	33296	
2017-09	0.84	25102	
2017-11	1.27	26011	
2017-12	1.19	25509	
2018-01	1.28	25588	
2018-02	1.16	24838	
2018-03	1.18	24569	
2018-04	1.01	24573	
2018-05	0.9	24301	
2018-06	0.79	24131	
2018-07	0.75	24467	
2018-08	0.75	24641	
2018-09	0.68	23728	
2018-11	0.6	24292	
2018-12	0.57	23718	
2019-03	0.85	23582	
2019-05	0.72	22652.5	
2019-06	0.73	23289	
2019-08	0.82	23403	
2019-09	0.83	23404	
2019-10	0.79	23385	
2019-12	0.93	23507	
2020-01	1.04	29714.5	
2020-02	1.05	26928	
2020-03	0.94	23255	
2020-06	0.96	23261	
2020-09	1.12	23642	
2020-12	1.16	24348	
2021-03	1.32	25209	
2021-06	1.35	24894	
2021-09	1.22	24537	
2021-12	1.08	24524	
2022-03	0.95	24990	
2022-06	0.88	27157	
2022-09	0.8	21348	
2022-12	0.81	21439	
2023-03	0.97	27918	
2023-06	0.93	21580	
2023-09	0.91	21659	
2023-12	0.88	21802	
2024-03	0.94	21948	
2024-06	0.95	22114	
2024-09	0.91	22233	
