month	ct_avg_Tdx收盘价	人均持股
2004-06	21.72	1449	
2004-09	15.28	1894	
2004-12	14.41	1926	
2005-03	12.62	1987	
2005-06	10.57	2223	
2005-09	10.42	3339	
2005-12	9.43	7718	
2006-03	9.18	6354	
2006-06	10.6	5990	
2006-09	5.52	5840	
2006-12	5.12	5906	
2007-03	7.6	5670	
2007-06	9.05	5392	
2007-09	14.35	10594	
2007-12	27.98	10345	
2008-03	38.14	10143	
2008-06	45.13	5379	
2008-09	24.3	3942	
2008-12	25.02	3322	
2009-03	30.97	3034	
2009-06	31.16	6332	
2009-09	39.67	24687	
2009-12	46.92	19135	
2010-03	47.04	17684	
2010-06	28.95	17527	
2010-09	33.73	11788	
2010-12	26.41	11464	
2011-03	29.95	17740	
2011-06	27.9	20022	
2011-09	24.03	16073	
2011-12	19.87	17428	
2012-03	21.37	17380	
2012-06	21.47	18450	
2012-09	18.56	18758	
2012-12	17.48	19198	
2013-03	19.12	16559	
2013-06	16.71	16971	
2013-09	21.09	21220	
2013-12	19.63	19913	
2014-03	18.33	19333	
2014-06	12.46	28025	
2014-09	14.79	23767	
2014-12	15.42	19629	
2015-03	16.51	18976	
2015-06	24.81	23814	
2015-09	13.98	24209	
2015-12	16.83	27180	
2016-03	19.58	29216	
2016-06	20.21	30016	
2016-09	22.57	29598	
2016-12	19.59	25048	
2017-03	19.92	24742	
2017-04	19.09	24697.5	
2017-06	18.42	25111.5	
2017-08	21.14	31560	
2017-09	23.47	36304	
2017-10	24.99	39176	
2017-11	30.79	38695	
2017-12	37.31	31427	
2018-01	41.35	32833	
2018-03	36.53	22892	
2018-05	35.11	28457	
2018-06	18.21	24596.67	
2018-07	17.51	23090	
2018-08	15.96	22456.33	
2018-09	14.8	21269	
2018-10	14.12	21677	
2018-11	15.52	21540	
2018-12	15.71	23766.5	
2019-01	14.9	26301	
2019-02	16.59	27340	
2019-03	18.6	29031	
2019-04	20.37	34070	
2019-05	19.24	33714.33	
2019-06	19.5	34855	
2019-07	20.58	36878.67	
2019-08	21.04	41830	
2019-09	22.46	41953.67	
2019-10	20.81	38515.67	
2019-11	21.6	38440	
2019-12	22.2	39066.33	
2020-01	24.16	47607.5	
2020-02	24.86	50136.67	
2020-03	26.41	45671.67	
2020-04	27.58	38758	
2020-05	26.07	35645	
2020-06	27.29	37021	
2020-07	29.73	29076.67	
2020-08	30.82	27889.67	
2020-09	31.48	28864.67	
2020-10	29.3	25546	
2020-11	31.28	29578	
2020-12	32.74	33750.67	
2021-01	38.56	34754	
2021-02	40.74	35588.25	
2021-03	40.4	35983.33	
2021-04	37.76	32022.33	
2021-05	36.02	32632.5	
2021-06	30.28	29614	
2021-07	27.62	27909	
2021-09	29.25	25569	
2021-12	29.1	32570	
2022-03	33.29	39804	
2022-06	22.45	32722	
2022-09	22.4	34176	
2022-12	19.41	27943	
2023-03	18.24	25661	
2023-06	15.44	25578	
2023-09	16.34	26217	
2023-12	17.07	28481	
2024-03	17.43	31020	
2024-06	19.08	35361	
2024-09	19.41	36121	
