month	ct_avg_前复权价格	人均持股
2004-06	0.87	1449	
2004-09	0.61	1894	
2004-12	0.58	1926	
2005-03	0.5	1987	
2005-06	0.44	2223	
2005-09	0.58	3339	
2005-12	0.78	7718	
2006-03	0.76	6354	
2006-06	1.02	5990	
2006-09	0.93	5840	
2006-12	0.86	5906	
2007-03	1.28	5670	
2007-06	1.53	5392	
2007-09	2.43	10594	
2007-12	4.74	10345	
2008-03	6.45	10143	
2008-06	7.65	5379	
2008-09	4.1	3942	
2008-12	4.43	3322	
2009-03	5.48	3034	
2009-06	5.55	6332	
2009-09	7.07	24687	
2009-12	8.37	19135	
2010-03	8.37	17684	
2010-06	6.88	17527	
2010-09	8.02	11788	
2010-12	9.38	11464	
2011-03	10.64	17740	
2011-06	10.07	20022	
2011-09	8.74	16073	
2011-12	7.18	17428	
2012-03	7.72	17380	
2012-06	7.93	18450	
2012-09	6.89	18758	
2012-12	6.49	19198	
2013-03	7.1	16559	
2013-06	6.39	16971	
2013-09	8.06	21220	
2013-12	7.5	19913	
2014-03	7.01	19333	
2014-06	7.33	28025	
2014-09	8.7	23767	
2014-12	9.07	19629	
2015-03	9.71	18976	
2015-06	14.44	23814	
2015-09	8.33	24209	
2015-12	10.04	27180	
2016-03	11.68	29216	
2016-06	12.14	30016	
2016-09	13.59	29598	
2016-12	11.72	25048	
2017-03	12	24742	
2017-04	11.5	24697.5	
2017-06	11.36	25111.5	
2017-08	13.16	31560	
2017-09	14.61	36304	
2017-10	15.55	39176	
2017-11	19.16	38695	
2017-12	23.22	31427	
2018-01	25.74	32833	
2018-03	22.73	22892	
2018-05	22.66	28457	
2018-06	19.68	24596.67	
2018-07	18.91	23090	
2018-08	17.24	22456.33	
2018-09	15.99	21269	
2018-10	15.26	21677	
2018-11	16.76	21540	
2018-12	16.97	23766.5	
2019-01	16.09	26301	
2019-02	17.93	27340	
2019-03	20.09	29031	
2019-04	22	34070	
2019-05	20.78	33714.33	
2019-06	21.07	34855	
2019-07	22.71	36878.67	
2019-08	23.53	41830	
2019-09	25.12	41953.67	
2019-10	23.27	38515.67	
2019-11	24.16	38440	
2019-12	24.84	39066.33	
2020-01	27.02	47607.5	
2020-02	27.81	50136.67	
2020-03	29.54	45671.67	
2020-04	30.85	38758	
2020-05	29.16	35645	
2020-06	30.74	37021	
2020-07	33.85	29076.67	
2020-08	35.09	27889.67	
2020-09	35.83	28864.67	
2020-10	33.35	25546	
2020-11	35.61	29578	
2020-12	37.27	33750.67	
2021-01	43.89	34754	
2021-02	46.37	35588.25	
2021-03	45.99	35983.33	
2021-04	42.98	32022.33	
2021-05	45.13	32632.5	
2021-06	42.1	29614	
2021-07	38.41	27909	
2021-09	40.66	25569	
2021-12	40.45	32570	
2022-03	46.77	39804	
2022-06	38.52	32722	
2022-09	38.43	34176	
2022-12	33.29	27943	
2023-03	31.29	25661	
2023-06	26.97	25578	
2023-09	28.96	26217	
2023-12	30.24	28481	
2024-03	30.89	31020	
2024-06	34.6	35361	
2024-09	35.21	36121	
