month	ct_avg_Tdx收盘价	股东人数
2017-10	29.52	63964	
2017-12	53.79	44901	
2018-03	62.13	32730	
2018-06	70.07	34158	
2018-09	55.03	32325	
2018-12	45.66	29479	
2019-03	57.83	26036	
2019-06	47.35	27392	
2019-09	30.75	31316	
2019-12	28.65	27366	
2020-03	27.06	25415	
2020-06	25.72	26999	
2020-09	28.84	25292	
2020-12	37.65	26716	
2021-03	46.82	18924	
2021-06	64.87	26169	
2021-09	216.12	49655	
2021-12	136.46	45608	
2022-03	128.05	51170	
2022-06	113.72	76153	
2022-09	121.76	59921	
2022-12	90.88	63629	
2023-03	87.1	63281	
2023-06	69.78	59118	
2023-09	61.42	56254	
2023-12	47.89	54357	
2024-03	52.57	49452	
2024-06	48.42	46717	
2024-09	51.07	43668	
