month	ct_avg_前复权价格	人均持股
2017-10	1.05	1094	
2017-12	1.91	1559	
2018-03	2.21	2139	
2018-06	2.5	2049	
2018-09	1.97	2166	
2018-12	1.63	8848	
2019-03	2.07	10019	
2019-06	1.69	9523	
2019-09	1.57	11661	
2019-12	1.46	13344	
2020-03	1.38	14369	
2020-06	1.32	13526	
2020-09	1.48	14438	
2020-12	1.94	35110	
2021-03	2.41	49567	
2021-06	3.36	35844	
2021-09	11.18	18890	
2021-12	7.06	20567	
2022-03	6.61	18331	
2022-06	5.97	12317	
2022-09	6.4	15654	
2022-12	4.78	16882	
2023-03	4.58	16975	
2023-06	3.71	18170	
2023-09	3.27	19095	
2023-12	2.55	19761	
2024-03	2.8	21721	
2024-06	2.58	22993	
2024-09	2.76	27073	
