month	ct_avg_前复权价格	股东人数
2017-10	1.05	63964	
2017-12	1.91	44901	
2018-03	2.21	32730	
2018-06	2.5	34158	
2018-09	1.97	32325	
2018-12	1.63	29479	
2019-03	2.07	26036	
2019-06	1.69	27392	
2019-09	1.57	31316	
2019-12	1.46	27366	
2020-03	1.38	25415	
2020-06	1.32	26999	
2020-09	1.48	25292	
2020-12	1.94	26716	
2021-03	2.41	18924	
2021-06	3.36	26169	
2021-09	11.18	49655	
2021-12	7.06	45608	
2022-03	6.61	51170	
2022-06	5.97	76153	
2022-09	6.4	59921	
2022-12	4.78	63629	
2023-03	4.58	63281	
2023-06	3.71	59118	
2023-09	3.27	56254	
2023-12	2.55	54357	
2024-03	2.8	49452	
2024-06	2.58	46717	
2024-09	2.76	43668	
