month	ct_avg_前复权价格	人均持股
1994-12	1.31	3301	
1995-12	1.03	1985	
1996-12	5.38	2162	
1997-12	10.93	1286	
1998-06	8.66	1167	
1998-12	7.04	1172	
1999-12	8.8	1519	
2000-06	8.67	1402	
2000-12	8.09	1720	
2001-12	6.88	1810	
2002-03	6.13	5483	
2002-06	6.56	2047	
2002-09	8.02	2194	
2002-12	6.13	2083	
2003-03	6.08	2071	
2003-06	6.46	2025	
2003-09	5.36	2001	
2003-12	4.82	2006	
2004-03	6	2094	
2004-06	5.08	2083	
2004-09	4.6	2097	
2004-12	3.82	2116	
2005-03	3.27	2139	
2005-06	3.47	2183	
2005-09	3.4	2234	
2005-12	3.33	2268	
2006-03	3.54	2337	
2006-06	4.32	2593	
2006-09	4.18	2760	
2006-12	7.45	3469	
2007-03	10.42	4767	
2007-06	17.48	5696	
2007-09	22.65	8402	
2007-12	23.11	7015	
2008-03	17.03	6520	
2008-06	13.58	8092	
2008-09	9.93	8607	
2008-12	8.04	9432	
2009-03	12.2	11197	
2009-06	16.67	11984	
2009-09	16.39	11235	
2009-12	19.33	12682	
2010-03	18.43	11584	
2010-06	14.04	10517	
2010-09	13.64	9146	
2010-12	13.02	8806	
2011-03	12.92	9098	
2011-06	13.23	10879	
2011-09	13.18	11325	
2011-12	12.44	11377	
2012-03	13.13	11265	
2012-06	11.99	10958	
2012-09	10.79	11032	
2012-12	11.73	11786	
2013-03	17.95	12084	
2013-06	14.88	17630	
2013-09	15.74	17071	
2013-12	16.37	18707	
2014-03	13.75	17473	
2014-06	15.37	22430	
2014-09	16.27	31571	
2014-12	22.75	35661	
2015-03	23.22	31424	
2015-06	29.87	28220	
2015-09	20.78	32968	
2015-12	23.21	35456	
2016-03	19.85	34563	
2016-06	20.05	42966	
2016-09	21.44	42992	
2016-12	21.66	41786	
2017-02	21.93	48440	
2017-03	21.69	45579	
2017-06	21.38	44617	
2017-09	26.76	51039	
2017-12	31.15	49181	
2018-03	27.56	40121	
2018-06	23.27	39383	
2018-09	24.49	42266	
2018-12	23.93	39986	
2019-03	30.17	48434	
2019-06	30.88	53336	
2019-09	36.09	64695	
2019-12	38.84	60105	
2020-01	40.21	56922	
2020-03	33.26	48832	
2020-06	32.3	45021	
2020-09	37.7	55228	
2020-12	46.39	62858	
2021-03	52.95	58481	
2021-06	58.16	65377	
2021-09	46.2	49696	
2021-12	43.75	38601	
2022-03	36.89	38149	
2022-06	35.57	39360	
2022-09	31.38	35429	
2022-12	33.2	39831	
2023-03	33.12	38285	
2023-06	29.69	36157	
2023-09	29.18	36598	
2023-12	24.07	33850	
2024-03	27.05	34171	
2024-06	28.1	35515	
2024-09	28.37	37485	
