month	ct_avg_Tdx收盘价	股东人数
1994-12	10.62	90000	
1995-12	6.72	180000	
1996-12	17.64	330500	
1997-12	23.75	833471	
1998-06	18.83	918331	
1998-12	15.29	914578	
1999-12	18.6	705443	
2000-06	18.32	764125	
2000-12	14.94	810000	
2001-12	12.7	778568	
2002-03	11.31	257057	
2002-06	12.11	688556	
2002-09	14.62	642229	
2002-12	11.21	676511	
2003-03	11.11	680420	
2003-06	11.82	695975	
2003-09	9.78	704157	
2003-12	8.67	702461	
2004-03	10.79	673023	
2004-06	9.16	676630	
2004-09	8.27	672188	
2004-12	6.88	666196	
2005-03	5.88	658855	
2005-06	6.24	645701	
2005-09	6.17	630989	
2005-12	5.99	621312	
2006-03	6.37	602998	
2006-06	7.31	543504	
2006-09	7.51	510668	
2006-12	13.4	406233	
2007-03	18.74	295644	
2007-06	32.28	272155	
2007-09	37.03	184500	
2007-12	37.89	250426	
2008-03	27.84	269468	
2008-06	22.25	264706	
2008-09	16.23	248859	
2008-12	10.08	295216	
2009-03	15.3	248697	
2009-06	21.14	243962	
2009-09	20.54	260240	
2009-12	24.32	230571	
2010-03	23.13	252420	
2010-06	17.63	295260	
2010-09	17.13	339544	
2010-12	16.33	352655	
2011-03	16.2	341316	
2011-06	16.59	285442	
2011-09	16.5	274203	
2011-12	15.57	272946	
2012-03	16.46	275669	
2012-06	15.04	283377	
2012-09	13.53	281497	
2012-12	14.6	263477	
2013-03	22.33	256985	
2013-06	15.91	281819	
2013-09	12.19	291054	
2013-12	12.61	298070	
2014-03	10.59	319109	
2014-06	10.45	298305	
2014-09	10.31	311571	
2014-12	14.41	275838	
2015-03	14.71	313029	
2015-06	15.63	418294	
2015-09	10.87	358049	
2015-12	12.14	332918	
2016-03	10.39	341525	
2016-06	9.45	340528	
2016-09	9.21	340324	
2016-12	9.3	350142	
2017-02	9.42	349253	
2017-03	9.32	371177	
2017-06	9.18	379179	
2017-09	11.33	331474	
2017-12	13.19	343994	
2018-03	11.67	421677	
2018-06	9.85	435978	
2018-09	10.21	406242	
2018-12	9.98	429409	
2019-03	12.58	354508	
2019-06	12.85	321929	
2019-09	14.89	299958	
2019-12	16.03	322864	
2020-01	16.59	340920	
2020-03	13.72	397399	
2020-06	13.11	431036	
2020-09	15.3	351374	
2020-12	18.83	308724	
2021-03	21.49	331829	
2021-06	23.42	296828	
2021-09	18.61	390490	
2021-12	17.62	502716	
2022-03	15.03	508679	
2022-06	14.32	493029	
2022-09	12.42	547735	
2022-12	13.14	487200	
2023-03	13.1	506867	
2023-06	11.59	536701	
2023-09	11.27	530229	
2023-12	9.29	573282	
2024-03	10.44	567902	
2024-06	10.44	546413	
2024-09	10.23	517695	
