month	ct_avg_前复权价格	股东人数
2004-03	1.05	270848	
2004-06	0.9	269815	
2004-09	0.63	260660	
2004-12	0.52	255904	
2005-03	0.48	253356	
2005-06	0.3	241340	
2005-09	0.3	212947	
2005-12	0.32	197088	
2006-03	0.32	196338	
2006-06	0.41	206350	
2006-09	0.37	199477	
2006-12	0.42	180760	
2007-03	0.74	220197	
2007-06	1.03	315403	
2007-09	0.99	359283	
2007-12	0.91	398318	
2008-03	0.99	420564	
2008-06	0.78	390614	
2008-09	0.51	381909	
2008-12	0.49	384317	
2009-03	0.59	374202	
2009-06	0.66	368592	
2009-09	0.61	370057	
2009-12	0.82	362145	
2010-03	0.94	309300	
2010-06	0.69	342067	
2010-09	0.65	339037	
2010-12	0.6	333862	
2011-03	0.78	326268	
2011-06	1	522377	
2011-09	0.75	674754	
2011-12	0.64	726726	
2012-01	0.68	714649	
2012-03	0.78	684424	
2012-06	0.73	652526	
2012-09	0.66	641387	
2012-12	0.76	566807	
2013-03	0.9	463208	
2013-06	0.87	473305	
2013-09	0.82	488996	
2013-12	0.83	483575	
2014-03	0.92	439591	
2014-06	0.83	443270	
2014-09	0.97	422375	
2014-12	1.36	368079	
2015-03	2	416967	
2015-06	2.5	658740	
2015-09	1.47	647092	
2015-12	1.54	586602	
2016-03	1.43	545114	
2016-06	1.25	531039	
2016-09	1.29	507674	
2016-12	1.29	512718	
2017-03	1.35	478894	
2017-06	1.32	481723	
2017-07	1.33	483774	
2017-08	1.4	476060.5	
2017-09	1.38	475907	
2017-12	1.55	467540	
2018-03	1.42	483282	
2018-06	1.19	472986	
2018-09	1.1	468268	
2018-12	0.97	463789	
2019-02	1.27	479128	
2019-03	1.53	561950	
2019-05	1.39	521117	
2019-06	1.32	515611	
2019-07	1.38	518632	
2019-08	1.34	508820	
2019-09	1.47	489699	
2019-11	1.45	477046.5	
2019-12	1.72	433940	
2020-01	1.97	429091	
2020-02	2.41	480636	
2020-03	2.16	618976.67	
2020-04	1.81	640154.33	
2020-05	2.06	614718.67	
2020-06	2.46	530161.67	
2020-07	2.71	533857.5	
2020-08	2.72	487076	
2020-09	2.81	491258	
2020-10	2.58	525882	
2020-11	2.85	455860.5	
2020-12	2.92	494262.67	
2021-01	3.63	515317	
2021-02	3.74	553739.5	
2021-03	3.85	562901.33	
2021-04	3.84	665068.5	
2021-05	3.54	709076	
2021-06	3.24	788420	
2021-09	2.91	820878	
2021-12	2.64	799609	
2022-03	2.13	773077	
2022-06	1.94	761967	
2022-09	1.72	734320	
2022-12	1.69	731411	
2023-03	1.91	677632	
2023-06	1.85	667265	
2023-09	1.94	622787	
2023-12	1.94	600087	
2024-03	2.23	578652	
2024-06	2.12	582209	
2024-09	1.89	596865	
