month	ct_avg_前复权价格	人均持股
2004-03	1.05	3671	
2004-06	0.9	3685	
2004-09	0.63	3815	
2004-12	0.52	3886	
2005-03	0.48	3925	
2005-06	0.3	4120	
2005-09	0.3	4670	
2005-12	0.32	5045	
2006-03	0.32	5065	
2006-06	0.41	6023	
2006-09	0.37	6231	
2006-12	0.42	6876	
2007-03	0.74	5645	
2007-06	1.03	7231	
2007-09	0.99	6348	
2007-12	0.91	5726	
2008-03	0.99	5423	
2008-06	0.78	6433	
2008-09	0.51	6580	
2008-12	0.49	6306	
2009-03	0.59	6477	
2009-06	0.66	6775	
2009-09	0.61	6749	
2009-12	0.82	6896	
2010-03	0.94	8074	
2010-06	0.69	8190	
2010-09	0.65	8263	
2010-12	0.6	8391	
2011-03	0.78	8586	
2011-06	1	10796	
2011-09	0.75	11744	
2011-12	0.64	10935	
2012-01	0.68	11119	
2012-03	0.78	11610	
2012-06	0.73	12167	
2012-09	0.66	12378	
2012-12	0.76	13982	
2013-03	0.9	17109	
2013-06	0.87	16756	
2013-09	0.82	16573	
2013-12	0.83	16820	
2014-03	0.92	18503	
2014-06	0.83	18355	
2014-09	0.97	19263	
2014-12	1.36	22101	
2015-03	2	19612	
2015-06	2.5	13655	
2015-09	1.47	13901	
2015-12	1.54	15338	
2016-03	1.43	16499	
2016-06	1.25	16950	
2016-09	1.29	17731	
2016-12	1.29	17556	
2017-03	1.35	18796.5	
2017-06	1.32	18686	
2017-07	1.33	18607	
2017-08	1.4	18908.5	
2017-09	1.38	18914	
2017-12	1.55	19253	
2018-03	1.42	24269.5	
2018-06	1.19	24796	
2018-09	1.1	25045	
2018-12	0.97	25279	
2019-02	1.27	26690	
2019-03	1.53	22756	
2019-05	1.39	24380	
2019-06	1.32	24553	
2019-07	1.38	24411	
2019-08	1.34	24881	
2019-09	1.47	25852	
2019-11	1.45	26810	
2019-12	1.72	29176	
2020-01	1.97	29506	
2020-02	2.41	26578.33	
2020-03	2.16	20476.67	
2020-04	1.81	19787.67	
2020-05	2.06	20606.67	
2020-06	2.46	23898.67	
2020-07	2.71	23730	
2020-08	2.72	26036	
2020-09	2.81	25801.33	
2020-10	2.58	24076	
2020-11	2.85	27823.5	
2020-12	2.92	25620.33	
2021-01	3.63	24964	
2021-02	3.74	23301.5	
2021-03	3.85	22915	
2021-04	3.84	19393	
2021-05	3.54	18219.33	
2021-06	3.24	16371	
2021-09	2.91	15723	
2021-12	2.64	16781	
2022-03	2.13	17358	
2022-06	1.94	17608	
2022-09	1.72	18271	
2022-12	1.69	18665	
2023-03	1.91	20146	
2023-06	1.85	27123	
2023-09	1.94	29061	
2023-12	1.94	30160	
2024-03	2.23	31277	
2024-06	2.12	31085	
2024-09	1.89	30322	
