month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2012-04	0.74	0.1	
2012-05	0.75	0.12	
2012-06	0.73	0.11	
2012-07	0.67	0.02	
2012-08	0.66	0	
2012-09	0.66	0.02	
2012-10	0.68	0.05	
2012-11	0.72	0.11	
2012-12	0.76	0.17	
2013-01	0.82	0.26	
2013-02	0.84	0.29	
2013-03	0.9	0.36	
2013-04	0.98	0.48	
2013-05	1.04	0.55	
2013-06	0.87	0.3	
2013-07	0.8	0.18	
2013-08	0.8	0.18	
2013-09	0.82	0.21	
2013-10	0.84	0.22	
2013-11	0.84	0.2	
2013-12	0.83	0.19	
2014-01	0.83	0.17	
2014-02	0.94	0.32	
2014-03	0.92	0.28	
2014-04	0.92	0.26	
2014-05	0.86	0.18	
2014-06	0.83	0.12	
2014-07	0.87	0.18	
2014-08	0.91	0.21	
2014-09	0.97	0.29	
2014-10	1.09	0.43	
2014-11	1.17	0.52	
2014-12	1.36	0.74	
2015-01	1.43	0.81	
2015-02	1.54	0.93	
2015-03	2	1.44	
2015-04	2.31	1.78	
2015-05	2.3	1.71	
2015-06	2.5	1.87	
2015-07	1.92	1.18	
2015-08	1.8	1.02	
2015-09	1.47	0.63	
2015-10	1.5	0.67	
2015-11	1.51	0.66	
2015-12	1.54	0.69	
2016-01	1.36	0.48	
2016-02	1.42	0.54	
2016-03	1.43	0.54	
2016-04	1.37	0.47	
2016-05	1.27	0.35	
2016-06	1.25	0.33	
2016-07	1.31	0.39	
2016-08	1.29	0.36	
2016-09	1.29	0.36	
2016-10	1.29	0.36	
2016-11	1.29	0.34	
2016-12	1.29	0.33	
2017-01	1.29	0.33	
2017-02	1.36	0.39	
2017-03	1.35	0.36	
2017-04	1.34	0.34	
2017-05	1.32	0.31	
2017-06	1.32	0.29	
2017-07	1.33	0.29	
2017-08	1.4	0.36	
2017-09	1.38	0.33	
2017-10	1.57	0.5	
2017-11	1.76	0.66	
2017-12	1.55	0.45	
2018-01	1.49	0.38	
2018-02	1.34	0.24	
2018-03	1.42	0.3	
2018-04	1.29	0.17	
2018-05	1.26	0.15	
2018-06	1.19	0.08	
2018-07	1.14	0.04	
2018-08	1.12	0.01	
2018-09	1.1	-0.01	
2018-10	0.99	-0.11	
2018-11	1	-0.11	
2018-12	0.97	-0.13	
2019-01	1.07	-0.04	
2019-02	1.27	0.12	
2019-03	1.53	0.34	
2019-04	1.55	0.35	
2019-05	1.39	0.2	
2019-06	1.32	0.14	
2019-07	1.38	0.18	
2019-08	1.34	0.15	
2019-09	1.47	0.25	
2019-10	1.4	0.19	
2019-11	1.45	0.23	
2019-12	1.72	0.45	
2020-01	1.97	0.63	
2020-02	2.41	0.98	
2020-03	2.16	0.74	
2020-04	1.81	0.45	
2020-05	2.06	0.63	
2020-06	2.46	0.92	
2020-07	2.71	1.08	
2020-08	2.72	1.06	
2020-09	2.81	1.1	
2020-10	2.58	0.9	
2020-11	2.85	1.07	
2020-12	2.92	1.09	
2021-01	3.63	1.54	
2021-02	3.74	1.56	
2021-03	3.85	1.58	
2021-04	3.84	1.53	
2021-05	3.54	1.28	
2021-06	3.24	1.05	
2021-07	3.31	1.07	
2021-08	3.15	0.94	
2021-09	2.91	0.77	
2021-10	2.67	0.61	
2021-11	2.66	0.58	
2021-12	2.64	0.56	
2022-01	2.58	0.51	
2022-02	2.43	0.4	
2022-03	2.13	0.22	
2022-04	1.94	0.11	
2022-05	1.81	0.03	
2022-06	1.94	0.1	
2022-07	1.97	0.11	
2022-08	1.93	0.08	
2022-09	1.72	-0.04	
2022-10	1.79	-0.01	
2022-11	1.83	0.01	
2022-12	1.69	-0.08	
2023-01	1.73	-0.06	
2023-02	1.88	0.02	
2023-03	1.91	0.03	
2023-04	1.91	0.03	
2023-05	1.74	-0.06	
2023-06	1.85	-0.01	
2023-07	2.04	0.1	
2023-08	1.93	0.04	
2023-09	1.94	0.04	
2023-10	1.91	0.03	
2023-11	1.97	0.06	
2023-12	1.94	0.05	
2024-01	2.04	0.1	
2024-02	2.06	0.11	
2024-03	2.23	0.19	
2024-04	2.38	0.27	
2024-05	2.18	0.15	
2024-06	2.12	0.12	
2024-07	1.98	0.04	
2024-08	1.86	-0.02	
2024-09	1.89	-0.01	
2024-10	2.14	0.11	
2024-11	2.41	0.25	
2024-12	2.43	0.25	
2025-01	2.43	0.25	
2025-02	2.47	0.25	
