month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2019-06	71.88	4.59	1.36	79.65	1.54	83.6	
2019-07	77.53	4.95	1.5	91.42	1.68	92.82	
2019-08	76.55	4.89	1.43	89.65	1.59	89.81	
2019-09	74.86	4.78	1.34	74.29	1.48	74.78	
2019-10	78.11	4.99	1.4	88.14	1.53	87.45	
2019-11	87.47	5.58	1.63	96.39	1.78	96.22	
2019-12	88.79	5.67	1.61	92.94	1.75	92.98	
2020-01	98.61	6.3	1.84	99.44	1.99	99.44	
2020-02	95.45	6.09	1.69	89.06	1.81	89.2	
2020-03	91.66	5.85	1.53	77.88	1.64	77.76	
2020-04	91.55	5.84	1.47	57.06	1.57	57.1	
2020-05	109.78	7.01	1.89	89.78	2.01	89.98	
2020-06	117.3	7.54	2	98.3	2.14	98.26	
2020-07	133.57	8.6	2.32	99.14	2.47	99.18	
2020-08	156	10.05	2.74	98.72	2.91	98.72	
2020-09	157.85	10.17	2.66	88.96	2.81	88.96	
2020-10	159.03	10.24	2.56	89.29	2.71	89.18	
2020-11	193.22	12.45	3.16	98.04	3.32	98.04	
2020-12	191.05	12.31	2.96	88.51	3.1	88.51	
2021-01	203.79	13.13	3.06	95.27	3.19	95.22	
2021-02	205.63	13.24	2.95	91.43	3.07	91.37	
2021-03	187.39	12.07	2.48	66.69	2.58	66.57	
2021-04	193.17	12.44	2.47	61.48	2.56	61.44	
2021-05	185.71	11.96	2.23	47.52	2.32	47.12	
2021-06	212.42	13.73	2.57	74.36	2.68	74.49	
2021-07	216.59	14.04	2.52	84.5	2.63	85.02	
2021-08	200.62	13	2.16	65.02	2.26	65.71	
2021-09	187.23	12.14	1.87	18.88	1.96	20.53	
2021-10	214.07	13.87	2.19	40.18	2.27	43.36	
2021-11	218.36	14.15	2.15	72.32	2.24	74.43	
2021-12	213.09	13.81	1.99	74.15	2.07	74.26	
2022-01	186.98	12.12	1.56	14.15	1.62	15.6	
2022-02	159.24	10.32	1.14	-32.98	1.19	-31.08	
2022-03	141.12	9.37	0.86	-59.22	0.95	-60.44	
2022-04	118.8	7.7	0.55	-82.05	0.58	-85.01	
2022-05	137.5	8.98	0.76	-74.01	0.81	-73.92	
2022-06	159.5	10.43	1.01	-57.31	1.07	-54.72	
2022-07	170.16	11.12	1.1	-38.86	1.16	-33.76	
2022-08	158.5	10.36	0.93	-44.1	0.98	-36.45	
2022-09	152.09	9.94	0.82	-53.49	0.87	-48.72	
2022-10	144.14	9.42	0.7	-52.96	0.74	-45.7	
2022-11	132.5	8.66	0.54	-77.92	0.58	-76.79	
2022-12	130.78	8.55	0.5	-78.12	0.54	-77.35	
2023-01	132.78	8.68	0.5	-73.77	0.54	-71.88	
2023-02	140.33	9.17	0.57	-54.78	0.61	-52.1	
2023-03	131.16	8.57	0.45	-60.72	0.48	-59.01	
2023-04	115.91	7.58	0.27	-87.41	0.3	-86.18	
2023-05	108.77	7.11	0.18	-95.27	0.2	-94.42	
2023-06	114.61	7.53	0.23	-81.65	0.26	-81.16	
2023-07	133.56	8.81	0.41	-40.82	0.46	-38.86	
2023-08	140.92	9.3	0.47	-7.3	0.52	-5.28	
2023-09	149.85	9.89	0.55	19.02	0.6	22.37	
2023-10	149.68	9.88	0.53	34.77	0.58	40.55	
2023-11	143.08	9.44	0.45	25.45	0.49	29.67	
2023-12	135.58	8.95	0.36	2.59	0.39	11.1	
2024-01	128.39	8.47	0.27	-23.66	0.31	-16.88	
2024-02	132.95	8.77	0.3	-23.15	0.34	-16.84	
2024-03	145.19	9.58	0.41	35.93	0.44	38.9	
2024-04	135.97	8.97	0.3	14.2	0.34	16.12	
2024-05	130.88	8.64	0.24	-17.77	0.27	-15.58	
2024-06	120.4	8.01	0.13	-59.59	0.17	-57.47	
2024-07	121.82	8.12	0.14	-69.02	0.18	-64.4	
2024-08	118.2	7.88	0.1	-85.67	0.13	-83.68	
2024-09	127.04	8.46	0.17	-66.17	0.21	-63.96	
2024-10	145.89	9.72	0.33	-0.65	0.37	1.59	
2024-11	139.3	9.29	0.26	19.26	0.3	24.32	
2024-12	133.56	8.91	0.2	18.75	0.23	32.31	
2025-01	132.82	8.86	0.18	23.69	0.22	30.65	
