month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2020-06	4.21	80.06	
2020-07	5.07	93.55	
2020-08	4.95	87.71	
2020-09	4.8	77.31	
2020-10	4.85	76.62	
2020-11	4.62	47.36	
2020-12	5.09	73.72	
2021-01	6.57	95.85	
2021-02	6.86	95.12	
2021-03	5.49	66.65	
2021-04	6.2	82.06	
2021-05	6.27	83.78	
2021-06	6	61.86	
2021-07	6.23	66.44	
2021-08	6.12	52.51	
2021-09	5.56	16.65	
2021-10	5.14	-27.23	
2021-11	4.7	-50.57	
2021-12	4.71	-62.15	
2022-01	4	-85.34	
2022-02	3.39	-92.13	
2022-03	2.87	-95.57	
2022-04	2.27	-98.64	
2022-05	2.04	-97.09	
2022-06	2.37	-77.04	
2022-07	2.23	-84.52	
2022-08	2.3	-72.4	
2022-09	2.48	-44.68	
2022-10	2.45	-42.08	
2022-11	2.78	-7.55	
2022-12	2.58	-7.35	
2023-01	3.19	25.5	
2023-02	3.31	38.93	
2023-03	3.29	50.58	
2023-04	3.2	52.35	
2023-05	2.77	12.81	
2023-06	2.83	5.31	
2023-07	2.56	-34.35	
2023-08	2.58	-48.02	
2023-09	2.29	-69.33	
2023-10	2.01	-76.79	
2023-11	2.01	-78.65	
2023-12	1.81	-94.77	
2024-01	1.47	-99.55	
2024-02	1.35	-93.56	
2024-03	1.55	-78.83	
2024-04	1.31	-91.79	
2024-05	1.27	-94.02	
2024-06	1.22	-97.18	
2024-07	1.13	-97.09	
2024-08	1.09	-97.65	
2024-09	1.1	-94.08	
2024-10	1.55	-27.18	
2024-11	1.55	0.81	
2024-12	1.45	6.94	
2025-01	1.27	-19.64	
