month	ct_avg_Tdx收盘价	股东人数
2015-12	22.02	163974	
2016-03	15.42	158605	
2016-06	14.28	150754	
2016-09	15.73	123906	
2016-12	17.32	104720	
2017-02	16.97	104164	
2017-03	17.66	102001	
2017-06	20.89	103503	
2017-09	19.19	101309	
2017-12	19.05	86300	
2018-03	21.96	88320	
2018-06	21.48	83301	
2018-09	17.92	77333	
2018-12	17.97	76562	
2019-03	21.84	69963	
2019-06	21.14	66370	
2019-09	19.76	65299	
2019-12	19.33	60546	
2020-03	17.47	59669	
2020-06	16.6	64932	
2020-09	15.91	78528	
2020-12	13.55	83758	
2021-02	12.21	84118	
2021-03	12.63	84488	
2021-06	11.15	93481	
2021-09	11.19	82699	
2021-12	12.74	73677	
2022-03	14.48	62978	
2022-06	12.42	83709	
2022-09	15.63	53023	
2022-12	13.39	79895	
2023-03	13.98	66288	
2023-06	13.21	61696	
2023-09	13.08	65782	
2023-12	9.55	78818	
2024-03	9.26	80598	
2024-06	9.52	92085	
2024-09	9.44	117777	
