month	ct_avg_Tdx收盘价	人均持股
2015-01	18.66	0	
2015-03	36.1	3277	
2015-06	69.89	3567	
2015-09	25.75	3550	
2015-12	42.5	2479	
2016-03	26.97	6618	
2016-06	25.8	4882	
2016-12	24.14	4114	
2017-03	21.69	4526	
2017-12	30.32	7273	
2018-02	33.65	9029	
2018-03	39.64	8948	
2018-06	38.96	11091	
2018-09	35.51	11153	
2018-12	38.2	13401	
2019-03	45.01	13330	
2019-06	39.66	12850	
2019-09	47.64	31756	
2019-12	33.27	42975	
2020-03	44.08	43801	
2020-06	58.46	37812	
2020-09	67.22	42635	
2020-11	71.85	37031	
2020-12	67.33	37596	
2021-02	75.89	25623	
2021-03	59.93	25649	
2021-06	69.37	33316	
2021-09	43.37	24338.5	
2021-10	40.14	26311	
2021-12	49.65	21660	
2022-03	32.04	17756	
2022-05	35.64	19037.5	
2022-06	34.84	18942	
2022-09	26.37	16513	
2022-10	23.56	16550	
2022-11	25.09	17015	
2022-12	28.06	19478	
2023-01	32.08	20722	
2023-03	36.46	25171.67	
2023-04	36.81	23226	
2023-06	35.01	24471	
2023-07	33.72	22835	
2023-08	31.37	20890	
2023-09	28.06	20458	
2023-11	27.45	18577	
2023-12	27.78	18014	
2024-01	22.77	16758	
2024-03	25	16364	
2024-05	24.36	15398	
2024-06	21.8	15456	
2024-07	19.9	15751	
2024-08	19.85	16203	
2024-09	19.58	17198	
2024-10	25.11	17250	
2024-11	27.78	21139	
2024-12	29.04	22410	
2025-01	26.17	23795	
