month	ct_avg_Tdx收盘价	人均持股
2007-12	30.48	1730	
2008-03	33.01	1986	
2008-06	12.48	2690	
2008-09	7.19	2929	
2008-12	9.11	2437	
2009-03	12.04	2351	
2009-06	14.79	2339	
2009-09	14.24	2369	
2009-12	23.61	1869	
2010-03	22	2021	
2010-06	18.09	2230	
2010-09	20.59	2530	
2010-12	22.53	5059	
2011-03	32.81	6438	
2011-06	28.17	8364	
2011-09	19.6	7645	
2011-12	15.31	6460	
2012-03	14.7	6381	
2012-06	13.64	5284	
2012-09	11.57	5405	
2012-12	9.54	5931	
2013-03	10.09	5457	
2013-06	8.96	6242	
2013-09	9.09	6691	
2013-12	9.26	7168	
2014-03	13.46	7490	
2014-06	16.97	9198	
2014-09	24.16	11545	
2015-06	60.3	14668	
2015-09	36.94	13427	
2015-12	43.85	11468	
2016-06	31.38	15394	
2016-09	32.7	16813	
2016-12	28.72	14075	
2017-03	27.9	14621	
2017-06	24.28	15631	
2017-09	27.46	18104	
2017-12	28.35	63930	
2018-03	26.99	57167	
2018-06	29.3	51082	
2018-09	24.98	53484	
2018-12	23.5	84889	
2019-03	30.08	99538	
2019-06	23	59417	
2019-09	28.84	73555	
2019-12	32.26	53745	
2020-03	34.59	40616.5	
2020-06	32.43	28382	
2020-09	31.16	28429	
2020-11	30.3	29460	
2020-12	28.88	24024	
2021-01	27.24	24726	
2021-03	26.55	26179	
2021-04	24.83	27799	
2021-05	24.74	27966	
2021-06	28.52	27834	
2021-09	38.36	43993	
2021-12	46.9	51920	
2022-03	45.17	58969	
2022-06	48.63	73788	
2022-09	45.4	69619	
2022-12	51.97	80956	
2023-03	48.05	50030	
2023-06	35.48	44556	
2023-09	26.34	38910	
2023-12	24.56	38463	
2024-03	24.61	41327	
2024-06	26.65	49421	
2024-09	24.64	43505	
