month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2012-10	7.81	3.42	-0.37	-77.38	-0.16	-77.28	
2012-11	7.16	3.13	-0.42	-95.21	-0.23	-95.41	
2012-12	7.2	3.15	-0.42	-81.93	-0.23	-81.16	
2013-01	7.9	3.46	-0.36	-53.17	-0.16	-53.35	
2013-02	7.95	3.48	-0.36	-41.37	-0.16	-41.73	
2013-03	8.48	3.71	-0.32	-9.06	-0.11	-8.89	
2013-04	8.23	3.6	-0.34	-0.55	-0.15	-0.2	
2013-05	8.99	3.93	-0.28	32.1	-0.08	31.25	
2013-06	8.71	3.83	-0.31	35.4	-0.11	35.92	
2013-07	7.83	3.45	-0.38	-7.1	-0.2	-5.36	
2013-08	8.37	3.69	-0.34	12.38	-0.15	17.17	
2013-09	10.54	4.64	-0.17	71.48	0.06	72.98	
2013-10	10.21	4.49	-0.2	77.28	0.02	78.62	
2013-11	10.13	4.46	-0.21	80.4	0	80.87	
2013-12	10.16	4.47	-0.21	81.09	0	81.21	
2014-01	9.5	4.16	-0.26	56.92	-0.08	53.32	
2014-02	10.71	4.71	-0.17	77.29	0.04	75	
2014-03	11.44	5.03	-0.12	90.99	0.1	90.18	
2014-04	10.92	4.81	-0.16	82.27	0.04	81.84	
2014-05	9.89	4.37	-0.24	39.51	-0.06	40.71	
2014-06	10.06	4.46	-0.23	27.81	-0.05	29.82	
2014-07	11.22	4.97	-0.14	65.92	0.05	69.06	
2014-08	12.68	5.62	-0.04	91.16	0.18	92.01	
2014-09	14.61	6.48	0.1	96.98	0.34	97.24	
2014-10	14.99	6.65	0.12	92.16	0.37	92.21	
2014-11	14.92	6.62	0.11	91.74	0.35	91.87	
2014-12	14.08	6.24	0.04	69.18	0.26	69.45	
2015-01	13.45	5.96	-0.01	49.11	0.19	49.29	
2015-02	14.28	6.33	0.05	60.89	0.25	61.07	
2015-03	17.11	7.59	0.24	83.64	0.48	83.65	
2015-04	21.3	9.45	0.53	97.19	0.81	97.19	
2015-05	29.32	13.58	1.08	99.31	1.55	99.37	
2015-10	39.25	18.26	1.73	97.96	2	68.17	
2015-11	41.14	18.28	1.81	98.21	1.93	52	
2015-12	45.38	20.16	2.04	97.75	2.17	79.46	
2016-01	35.84	15.93	1.37	74.6	1.47	41.7	
2016-02	33.21	14.76	1.18	55.6	1.28	-9.76	
2016-03	32.19	14.11	1.1	42.86	1.16	-28.07	
2016-04	35.29	15.68	1.29	49.82	1.37	-20.49	
2016-05	32.59	14.49	1.12	22.87	1.17	-42.86	
2016-06	32.86	14.6	1.16	6.07	1.17	-48.53	
2016-07	33.35	14.82	1.2	16.79	1.18	-37.33	
2016-08	31.04	13.8	1.05	-26.09	1.01	-65.99	
2016-09	32.44	14.42	1.16	-20.04	1.07	-49.42	
2016-10	33.25	14.78	1.22	-2.01	1.09	-20.14	
2016-11	32.5	14.44	1.17	-27.19	1.01	-27.35	
2016-12	31.84	14.15	1.1	-43.59	0.94	-49.03	
2017-01	31.42	13.96	1.05	-62.75	0.89	-84.77	
2017-02	32.23	14.33	1.07	-37.9	0.91	-60.27	
2017-03	32.23	14.32	1.04	-19.02	0.88	-41.69	
2017-04	33.96	15.09	1.11	25.74	0.94	5.11	
2017-05	27.67	12.33	0.7	-49.33	0.57	-66.52	
2017-06	25.72	11.52	0.56	-83.28	0.45	-92.78	
2017-07	24.91	11.16	0.49	-95.49	0.39	-97.15	
2017-08	25.49	11.42	0.51	-85.95	0.42	-86.03	
2017-09	25.45	11.4	0.49	-80.36	0.41	-80.27	
2017-10	25.56	11.45	0.48	-75.16	0.4	-75.1	
2017-11	26.9	12.05	0.54	-42.74	0.47	-42.17	
2017-12	25.7	11.51	0.46	-49.02	0.39	-48.77	
2018-01	24.48	10.96	0.39	-76.06	0.31	-75.57	
2018-02	24.33	10.89	0.37	-81.78	0.3	-82.38	
2018-03	24.79	11.1	0.39	-70.21	0.31	-70.62	
2018-04	25.26	11.31	0.4	-53.92	0.33	-54.51	
2018-05	23.98	10.74	0.32	-84.98	0.25	-85.47	
2018-06	18.36	8.22	0.01	-99.2	-0.04	-98.84	
2018-07	18.07	8.11	-0.01	-89.24	-0.06	-88.84	
2018-08	17.92	8.12	-0.02	-86.14	-0.06	-84.55	
2018-09	21.97	9.95	0.2	-51.41	0.14	-49.2	
2018-10	21.04	9.53	0.14	-47.17	0.09	-44.49	
2018-11	22.49	10.19	0.21	-16.23	0.16	-12.5	
2018-12	22.49	10.09	0.2	-0.89	0.14	-0.36	
2019-01	22.29	10.1	0.19	2.35	0.14	10.02	
2019-02	23.67	10.72	0.26	29.29	0.21	38.09	
2019-03	24.8	11.23	0.31	47.24	0.26	54.17	
2019-04	26.58	12.04	0.39	61.52	0.34	67.9	
2019-05	22.26	10.08	0.16	24.29	0.12	30	
2019-06	22.94	10.39	0.19	20.54	0.15	24.48	
2019-07	24.44	11.07	0.27	53.14	0.22	55.78	
2019-08	24.11	10.92	0.24	57.02	0.2	59.94	
2019-09	24.39	11.05	0.25	65.18	0.21	66.61	
2019-10	21.96	9.95	0.12	-3.62	0.08	-2.98	
2019-11	21.3	9.65	0.09	-40.73	0.05	-40.86	
2019-12	20.41	9.24	0.04	-63.82	0	-64.16	
2020-01	20.37	9.23	0.04	-74.05	0	-73.77	
2020-02	17.77	8.05	-0.1	-88.44	-0.13	-88.12	
2020-03	16.7	7.56	-0.15	-95.37	-0.19	-95.09	
2020-04	16.71	7.57	-0.15	-87.41	-0.19	-87.03	
2020-05	16.14	7.31	-0.18	-97.42	-0.22	-97.37	
2020-06	16.01	7.25	-0.19	-94.24	-0.23	-94.33	
2020-07	18.59	8.42	-0.06	-51.94	-0.11	-52.02	
2020-08	20.57	9.32	0.03	-0.64	-0.02	-1.19	
2020-09	18.3	8.29	-0.09	-16.68	-0.13	-16.31	
2020-10	17.74	8.04	-0.12	-36.16	-0.16	-36.1	
2020-11	17.04	7.72	-0.16	-54.72	-0.2	-54.63	
2020-12	17.11	7.75	-0.16	-58.62	-0.2	-58.85	
2021-01	18.81	8.52	-0.08	-5.13	-0.12	-5	
2021-02	17.16	7.77	-0.16	-30.24	-0.21	-30.18	
2021-03	16.83	7.62	-0.18	-56.91	-0.22	-57.07	
2021-04	16.88	7.65	-0.18	-60.97	-0.22	-60.97	
2021-05	16.79	7.61	-0.19	-66.07	-0.23	-66.02	
2021-06	17.43	7.9	-0.16	-37.24	-0.21	-37.67	
2021-07	16.72	7.57	-0.2	-69.16	-0.24	-69.4	
