month	ct_avg_前复权价格	股东人数
2017-01	1.13	476376	
2017-03	1.41	1122	
2017-06	1.22	1117	
2017-09	1.58	808	
2017-12	1.13	785	
2018-03	1.05	763	
2018-06	0.88	755	
2018-09	0.74	758	
2018-12	0.76	758	
2019-03	1.19	752	
2019-06	1.18	750	
2019-09	1.22	746	
2019-12	1.17	744	
2020-06	1.09	739	
2020-09	1.36	728	
2020-12	1.32	716	
2021-03	1.12	700	
2021-06	1.14	696	
2021-09	1.2	682	
2021-12	1.19	679	
2022-03	1.09	679	
2022-06	1.03	677	
2022-09	1.06	666	
2022-12	1.1	664	
2023-03	1.13	661	
2023-06	1.31	658	
2023-09	1.29	658	
2023-12	1.42	652	
2024-03	1.41	649	
2024-06	1.33	642	
2024-09	1.39	644	
