month	ct_avg_前复权价格	股东人数
2001-12	0.94	47513	
2002-06	0.8	42933	
2002-09	0.84	41575	
2002-12	0.7	41713	
2003-03	0.66	42606	
2003-06	0.68	40147	
2003-09	0.57	40914	
2003-12	0.55	39484	
2004-03	0.59	39722	
2004-06	0.51	39242	
2004-09	0.43	39069	
2004-12	0.43	38938	
2005-03	0.37	39162	
2005-06	0.3	38408	
2005-09	0.38	34622	
2005-12	0.39	32819	
2006-03	0.52	28351	
2006-06	1.08	17451	
2006-09	1.31	11268	
2006-12	1.5	8113	
2007-03	2.09	6031	
2007-06	3.13	3232	
2007-09	3.59	4076	
2007-12	3.38	4986	
2008-03	3.11	4689	
2008-06	2.87	3963	
2008-09	2.76	5478	
2008-12	2.75	3932	
2009-03	2.95	6500	
2009-06	3.3	7101	
2009-09	3.98	5113	
2009-12	4.62	6172	
2010-03	5.24	5254	
2010-06	6.62	6479	
2010-09	7.21	6068	
2010-12	7.16	9603	
2011-03	7.17	9603	
2011-06	7.17	9605	
2011-09	6.49	10118	
2011-12	6.86	8273	
2012-03	6.35	8668	
2012-06	7.38	7447	
2012-09	9.15	7607	
2012-12	9.66	7496	
2013-03	12.97	8309	
2013-06	12.66	14359	
2013-09	15.22	19461	
2013-12	12.14	20433	
2014-03	10.28	24638	
2014-06	10.09	20952	
2014-09	10.7	25422	
2014-12	10.49	28527	
2015-03	12.26	25258	
2015-06	14.5	26586	
2015-09	10.4	22472	
2015-12	12.06	38106	
2016-03	9.22	43452	
2016-06	8.31	46102	
2016-09	9.03	38148	
2016-12	8.47	42865	
2017-02	8.82	36501	
2017-03	9.17	32196	
2017-06	9.3	31108	
2017-09	9.83	27232	
2017-12	10.86	23703	
2018-03	11.51	21512	
2018-06	13.19	22091	
2018-09	9.03	23673	
2018-12	8.91	23216	
2019-03	9.96	23109	
2019-06	9.3	25425	
2019-09	10.73	24087	
2019-12	9.66	29341	
2020-01	9.74	32394	
2020-03	8.38	34259	
2020-06	13.78	22704	
2020-09	12.36	26808	
2020-12	12.12	30883	
2021-03	14.95	21819	
2021-06	17.97	21930	
2021-09	14.45	25694	
2021-12	13.3	31389	
2022-03	11.72	31081	
2022-06	11.77	28251	
2022-09	9.76	33683	
2022-12	9.81	45017	
2023-03	9.79	42897	
2023-06	9.43	41743	
2023-09	8.6	44401	
2023-12	7.11	46651	
2024-03	6.17	49803	
2024-06	6.16	47300	
2024-09	4.93	47661	
