month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2018-11	3.92	0.71	
2018-12	3.89	0.68	
2019-01	3.53	0.51	
2019-02	3.86	0.63	
2019-03	4.55	0.9	
2019-04	4.5	0.84	
2019-05	3.8	0.54	
2019-06	3.77	0.51	
2019-07	3.69	0.46	
2019-08	3.44	0.34	
2019-09	3.64	0.41	
2019-10	3.56	0.36	
2019-11	3.95	0.5	
2019-12	4.96	0.84	
2020-01	6.61	1.4	
2020-02	8.72	2.08	
2020-03	7.37	1.55	
2020-04	6.85	1.31	
2020-05	7.95	1.62	
2020-06	8.41	1.7	
2020-07	9.71	2.03	
2020-08	8.8	1.68	
2020-09	8.38	1.49	
2020-10	9.59	1.78	
2020-11	12.09	2.4	
2020-12	14.25	2.85	
2021-01	20.75	4.32	
2021-02	19.86	3.86	
2021-03	15.83	2.72	
2021-04	15.89	2.61	
2021-05	18.11	2.95	
2021-06	19.76	3.14	
2021-07	26.71	4.31	
2021-08	29.92	4.62	
2021-09	29.01	4.17	
2021-10	26.99	3.6	
2021-11	26.4	3.31	
2021-12	24.12	2.79	
2022-01	21.15	2.22	
2022-02	22.92	2.38	
2022-03	21.19	2.03	
2022-04	18.17	1.53	
2022-05	18.6	1.53	
2022-06	21.92	1.9	
2022-07	22.89	1.94	
2022-08	20.58	1.58	
2022-09	18.48	1.26	
2022-10	17.63	1.12	
2022-11	19.07	1.24	
2022-12	17.41	1.01	
2023-01	16.82	0.9	
2023-02	17.4	0.94	
2023-03	15.56	0.7	
2023-04	15.13	0.63	
2023-05	14.79	0.57	
2023-06	14.3	0.5	
2023-07	13.83	0.43	
2023-08	12.19	0.25	
2023-09	10.75	0.09	
2023-10	10.38	0.04	
2023-11	9.95	-0.01	
2023-12	9.31	-0.08	
2024-01	9.48	-0.07	
2024-02	8.15	-0.21	
2024-03	8.93	-0.14	
2024-04	8.69	-0.17	
2024-05	8.11	-0.23	
2024-06	7.19	-0.32	
2024-07	6.58	-0.38	
2024-08	6.38	-0.4	
2024-09	6.46	-0.39	
2024-10	7.79	-0.27	
2024-11	9.45	-0.12	
2024-12	9.06	-0.16	
2025-01	8.15	-0.25	
