month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2001-09	19.03	0.59	
2001-10	16.84	0.41	
2001-11	16.8	0.4	
2001-12	17.81	0.48	
2002-01	17.3	0.43	
2002-02	17.09	0.41	
2002-03	17.52	0.44	
2002-04	17.27	0.42	
2002-05	16.5	0.35	
2002-06	15.74	0.28	
2002-07	15.48	0.26	
2002-08	15.82	0.28	
2002-09	16.51	0.33	
2002-10	15.76	0.26	
2002-11	15.77	0.26	
2002-12	16.31	0.29	
2003-01	16.34	0.29	
2003-02	16.33	0.28	
2003-03	15.21	0.19	
2003-04	12.72	-0.01	
2003-05	11.39	-0.11	
2003-06	12.08	-0.06	
2003-07	11.77	-0.09	
2003-08	11.75	-0.09	
2003-09	11.55	-0.11	
2003-10	11.38	-0.12	
2003-11	9.86	-0.24	
2003-12	10.05	-0.22	
2004-01	9.4	-0.27	
2004-02	10.51	-0.19	
2004-03	10.1	-0.22	
2004-04	9.82	-0.24	
2004-05	8.95	-0.31	
2004-06	8.12	-0.38	
2004-07	6.32	-0.52	
2004-08	5.61	-0.57	
2004-09	5.63	-0.57	
2004-10	5.51	-0.57	
2004-11	6.67	-0.48	
2004-12	5.97	-0.54	
2005-01	5.59	-0.57	
2005-02	5.33	-0.58	
2005-03	4.97	-0.61	
2005-04	4.48	-0.64	
2005-05	3.88	-0.69	
2005-06	4.13	-0.67	
2005-07	3.51	-0.71	
2005-08	4.24	-0.65	
2005-09	4.9	-0.6	
2005-10	4.86	-0.6	
2005-11	4.43	-0.63	
2005-12	4.22	-0.64	
2006-01	4.37	-0.62	
2006-02	4.67	-0.59	
2006-03	4.45	-0.61	
2006-04	4.4	-0.6	
2006-05	5.4	-0.51	
2006-06	6.12	-0.44	
2006-07	6.61	-0.39	
2006-08	5.73	-0.47	
2006-09	6.2	-0.42	
2006-10	6.62	-0.38	
2006-11	6.32	-0.4	
2006-12	6.71	-0.37	
2007-01	7.28	-0.31	
2007-02	9.1	-0.14	
2007-03	11.31	0.07	
2007-04	16	0.51	
2007-05	18	0.68	
2007-06	16.23	0.51	
2007-07	17.56	0.62	
2007-08	20.62	0.88	
2007-09	19.85	0.79	
2007-10	22.63	1.01	
2007-11	12.29	0.09	
2007-12	13.48	0.19	
