month	ct_avg_前复权价格	股东人数
2010-03	0.93	30208	
2010-06	0.79	26752	
2010-09	0.84	24571	
2010-12	0.87	23813	
2011-03	1.07	13722	
2011-06	0.93	12400	
2011-09	0.82	19533	
2011-12	0.54	24378	
2012-03	0.62	27673	
2012-06	0.74	22826	
2012-09	0.74	20758	
2012-12	0.58	21842	
2013-03	0.7	22102	
2013-06	0.62	21874	
2013-09	0.72	17471	
2013-12	0.6	19354	
2014-03	0.58	27699	
2014-06	0.5	29726	
2014-09	0.67	34838	
2014-12	0.63	38026	
2015-03	0.7	48163	
2015-06	1.14	83241	
2015-09	0.55	88971	
2015-12	0.71	85792	
2016-03	0.55	81797	
2016-06	0.55	76029	
2016-09	0.57	71584	
2016-12	0.66	65903	
2017-03	0.78	69300	
2017-04	1.07	82352.5	
2017-05	1.03	127776	
2017-06	1.09	139137	
2017-07	0.88	130511	
2017-08	0.88	134688.5	
2017-09	0.88	133152.5	
2017-12	0.59	119723	
2018-03	0.56	115339	
2018-04	0.51	112872	
2018-05	0.5	110228	
2018-06	0.41	105975	
2018-07	0.36	106070	
2018-08	0.35	104009	
2018-09	0.33	102208	
2018-10	0.29	101922	
2018-11	0.34	103842.33	
2018-12	0.35	102727	
2019-01	0.33	102928	
2019-03	0.41	98286	
2019-06	0.34	92434	
2019-09	0.32	89176	
2019-12	0.3	86440	
2020-03	0.32	86314	
2020-06	0.28	81407	
2020-09	0.32	78411	
2020-12	0.37	89126	
2021-01	0.49	119194	
2021-03	0.41	112342	
2021-05	0.4	106690	
2021-06	0.46	105969	
2021-09	0.43	96825	
2021-12	0.44	91183	
2022-03	0.38	89891	
2022-06	0.38	87710	
2022-09	0.42	92478	
2022-12	0.41	88094	
2023-03	0.43	85197	
2023-06	0.39	80610	
2023-08	0.4	78120.5	
2023-09	0.4	77569.67	
2023-10	0.4	76603.5	
2023-11	0.42	75406	
2023-12	0.41	74838.33	
2024-03	0.34	76518	
2024-06	0.28	73603	
2024-09	0.29	72947	
