month	ct_avg_前复权价格	股东人数
2014-09	1.19	44841	
2014-12	1.05	24630	
2015-03	1.1	24510	
2015-06	1.64	10141	
2015-09	0.79	15730	
2015-12	1.18	15381	
2016-03	0.96	16380	
2016-06	1.29	15224	
2016-09	1.24	17198	
2016-12	1.24	19047	
2017-02	1.21	18483	
2017-03	1.28	18870	
2017-06	0.87	17200	
2017-09	0.91	16444	
2017-12	0.9	15654	
2018-03	0.92	14095	
2018-06	0.82	12604	
2018-09	0.81	11386	
2018-12	0.96	10096	
2019-03	1.23	10002	
2019-06	1.24	7980	
2019-09	1.57	7605	
2019-12	1.62	6897	
2020-03	1.58	9762	
2020-06	2.19	10249	
2020-09	3.44	9054	
2020-12	4.06	11862	
2021-03	4.12	14913	
2021-06	5.49	20245	
2021-09	8.28	32950	
2021-12	7.61	27302	
2022-03	7.21	25355	
2022-06	6.46	48625	
2022-09	5.11	43561	
2022-12	5.34	31297	
2023-03	5.29	39109	
2023-06	3.92	48518	
2023-09	3.48	44005	
2023-12	2.69	45892	
2024-03	3.51	40220	
2024-06	2.86	46145	
2024-09	2.52	53747	
