month	ct_avg_前复权价格	人均持股
1997-12	3.7	757	
1998-12	2.42	1029	
1999-12	2	1008	
2000-12	2.58	1871	
2001-12	2.92	3787	
2002-06	2.96	4265	
2002-09	2.94	4376	
2002-12	2.64	4608	
2003-03	2.76	4727	
2003-06	2.63	4991	
2003-09	2.26	5147	
2003-12	1.83	5302	
2004-03	1.83	3983	
2004-06	1.33	4202	
2004-09	1.01	3497	
2004-12	0.8	3474	
2005-03	0.63	3130	
2005-06	0.42	3198	
2005-09	0.49	3266	
2005-12	0.4	3304	
2006-03	0.38	3405	
2006-06	0.38	3925	
2006-09	0.44	4144	
2006-12	0.42	4865	
2007-03	0.5	5331	
2007-04	0.63	4865	
2008-09	0.74	4799	
2008-12	0.85	4601	
2009-03	1.33	4160	
2009-06	2.14	2658	
2009-09	1.87	3943	
2009-12	2.28	3508	
2010-03	2.17	3169	
2010-06	1.67	3658	
2010-09	2.05	4082	
2010-12	1.95	4336	
2011-03	2.28	4517	
2011-06	2.04	4211	
2011-09	2	17257	
2011-12	1.69	16366	
2012-01	1.44	16517	
2012-03	1.78	14690	
2012-06	2.5	16555	
2012-09	2.27	19538	
2012-12	2.16	21316	
2013-03	2.64	20022	
2013-06	2.61	21576	
2013-09	2.6	24880	
2013-12	3.75	32552	
2014-03	2.94	22286	
2014-06	2.48	22787	
2014-09	3.11	26423	
2014-12	3.23	31084	
2015-03	3.17	31337	
2015-06	10.84	29298	
2015-09	5.54	25232	
2015-12	8.61	24697	
2016-03	5.67	22061	
2016-06	5.52	10042	
2016-09	5.31	11543	
2016-12	5.39	10663	
2017-03	4.87	13557	
2017-06	4.46	14940	
2017-09	6.02	23172	
2017-12	7.8	28747	
2018-03	6.56	29390	
2018-04	6.93	31358	
2018-06	7.12	31356	
2018-09	7.12	31352	
2018-12	5.98	33725	
2019-03	6.8	29457	
2019-06	8.04	23762	
2019-09	16.7	14593	
2019-12	23.09	10557	
2020-03	28.33	6691.5	
2020-06	26.26	4566	
2020-09	29.05	4252	
2020-12	23.94	4603	
2021-03	23.51	5556	
2021-06	21.64	5111	
2021-09	24.2	7361	
2021-12	31.35	12975	
2022-03	23.96	9769	
2022-06	16.2	4965	
2022-09	13.17	5243	
2022-12	13.06	7058	
2023-01	13.26	7433	
2023-02	13.66	7227	
2023-03	12.53	6681	
2023-05	12.39	6022	
2023-06	11.81	6327	
2023-07	11.07	6167	
2023-08	10.69	6555	
2023-09	10.51	6734	
2023-10	10.87	7094	
2023-11	11.8	7077	
2023-12	10.14	6802	
2024-01	8.83	6844	
2024-03	9.22	6775	
2024-04	8.02	6803	
2024-05	7.32	6765	
2024-06	6.95	6802	
2024-07	6.75	6888	
2024-08	6.29	7014	
2024-09	6.17	7218	
2024-11	10.25	7775	
