month	ct_avg_前复权价格	股东人数
1997-12	0.84	50522	
1998-06	0.98	52708	
1998-12	0.98	39740	
1999-06	1.14	27489	
1999-12	1.41	18687	
2000-06	1.72	31754	
2000-12	1.7	33186	
2001-12	2.09	34413	
2002-06	1.94	33200	
2002-09	2.04	31661	
2002-12	1.87	30998	
2003-03	1.92	29559	
2003-06	2.2	21522	
2003-09	2.24	18524	
2003-12	2.01	24651	
2004-03	2.07	20585	
2004-06	2.11	17209	
2004-09	2.33	14429	
2004-12	2.58	13368	
2005-03	2.97	12679	
2005-06	2.71	11726	
2005-09	3.02	12174	
2005-12	2.67	16196	
2006-03	2.59	35467	
2006-06	3.02	38440	
2006-09	3.06	29776	
2006-12	3.31	27931	
2007-03	4.33	31422	
2007-06	8.29	17993	
2007-09	7.31	46989	
2007-12	6.14	59303	
2008-03	5.28	63508	
2008-06	3.76	61839	
2008-09	3.24	63882	
2008-12	3.04	65735	
2009-03	3.65	73369	
2009-06	3.9	82015	
2009-09	4.07	70077	
2009-12	4.91	67539	
2010-03	5.6	54826	
2010-06	6.17	50099	
2010-09	7.04	33942	
2010-12	8.5	39350	
2011-03	8.71	53851	
2011-06	8.03	64669	
2011-09	9.13	151934	
2011-12	9	140953	
2012-03	8.92	139819	
2012-06	9.56	117174	
2012-09	10.37	100026	
2012-12	10.58	89987	
2013-03	13.14	73393	
2013-06	13.8	69282	
2013-09	13.51	72820	
2013-12	12.65	70960	
2014-03	11.11	84610	
2014-06	10.42	86311	
2014-09	11.65	81978	
2014-12	13.4	64629	
2015-03	14.91	64948	
2015-06	24.95	56525	
2015-09	14.78	57825	
2015-12	22.37	57397	
2016-03	17.93	68554	
2016-06	17.3	68963	
2016-09	19.41	62028	
2016-12	20.07	67546	
2017-02	19.22	71173	
2017-03	19.84	66981	
2017-06	21.12	65425	
2017-09	20.16	71787	
2017-12	20.59	66823	
2018-03	21.21	58448	
2018-06	23.73	65047	
2018-09	19.54	66855	
2018-12	18.23	64764	
2019-03	19.27	67726	
2019-06	18.28	64065	
2019-09	17.91	72559	
2019-12	17.32	70580	
2020-03	16.81	85934	
2020-06	17.32	79475	
2020-09	19.05	86312	
2020-12	16.38	121983	
2021-03	17.62	91420	
2021-06	24.68	107086	
2021-09	22.01	111947	
2021-12	26.52	83466	
2022-03	28.92	93281	
2022-06	33.4	73737	
2022-09	30.12	74342	
2022-12	31.54	84241	
2023-03	33.96	67051	
2023-06	38.04	75601	
2023-09	36.88	74171	
2023-12	35.31	76865	
2024-03	29	105098	
2024-06	28.48	111108	
2024-09	23.26	118311	
