month	ct_avg_Tdx收盘价	股东人数
1997-12	14.39	50522	
1998-06	16.59	52708	
1998-12	16.62	39740	
1999-06	15.86	27489	
1999-12	19.48	18687	
2000-06	23.58	31754	
2000-12	23.23	33186	
2001-12	19.56	34413	
2002-06	18.18	33200	
2002-09	18.81	31661	
2002-12	17.3	30998	
2003-03	17.75	29559	
2003-06	20.33	21522	
2003-09	20.42	18524	
2003-12	18.29	24651	
2004-03	18.86	20585	
2004-06	19.04	17209	
2004-09	20.18	14429	
2004-12	20.53	13368	
2005-03	23.64	12679	
2005-06	21.61	11726	
2005-09	19.84	12174	
2005-12	14.04	16196	
2006-03	13.62	35467	
2006-06	15.85	38440	
2006-09	15.79	29776	
2006-12	17.1	27931	
2007-03	22.4	31422	
2007-06	42.86	17993	
2007-09	37.6	46989	
2007-12	31.61	59303	
2008-03	27.15	63508	
2008-06	19.47	61839	
2008-09	13.85	63882	
2008-12	12.96	65735	
2009-03	15.58	73369	
2009-06	16.66	82015	
2009-09	17.19	70077	
2009-12	20.72	67539	
2010-03	23.64	54826	
2010-06	26.14	50099	
2010-09	29.42	33942	
2010-12	35.53	39350	
2011-03	36.39	53851	
2011-06	33.52	64669	
2011-09	15.13	151934	
2011-12	14.91	140953	
2012-03	14.79	139819	
2012-06	15.85	117174	
2012-09	17.04	100026	
2012-12	17.38	89987	
2013-03	21.59	73393	
2013-06	22.67	69282	
2013-09	21.97	72820	
2013-12	20.56	70960	
2014-03	18.06	84610	
2014-06	16.94	86311	
2014-09	18.74	81978	
2014-12	21.6	64629	
2015-03	24.03	64948	
2015-06	40.22	56525	
2015-09	23.65	57825	
2015-12	35.8	57397	
2016-03	28.69	68554	
2016-06	27.68	68963	
2016-09	30.84	62028	
2016-12	31.88	67546	
2017-02	30.53	71173	
2017-03	31.51	66981	
2017-06	33.55	65425	
2017-09	31.78	71787	
2017-12	32.46	66823	
2018-03	33.43	58448	
2018-06	37.42	65047	
2018-09	30.55	66855	
2018-12	28.51	64764	
2019-03	30.14	67726	
2019-06	28.58	64065	
2019-09	27.75	72559	
2019-12	26.43	70580	
2020-03	25.55	85934	
2020-06	26.32	79475	
2020-09	28.68	86312	
2020-12	24.65	121983	
2021-03	26.52	91420	
2021-06	37.15	107086	
2021-09	32.87	111947	
2021-12	39.6	83466	
2022-03	44.26	93281	
2022-06	49.88	73737	
2022-09	44.71	74342	
2022-12	46.82	84241	
2023-03	50.41	67051	
2023-06	56.47	75601	
2023-09	54.41	74171	
2023-12	52.09	76865	
2024-03	42.79	105098	
2024-06	41.99	111108	
2024-09	33.88	118311	
