month	ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx平均成交价
2012-06	15.91	-94.47	
2012-07	15.85	-89.29	
2012-08	15.73	-86.57	
2012-09	14.29	-98.93	
2012-10	13.64	-97.32	
2012-11	12.8	-96.75	
2012-12	12.29	-88.86	
2013-01	14.91	-49.87	
2013-02	15.27	-25.89	
2013-03	15.88	0.26	
2013-04	16.54	17.16	
2013-05	16.82	28.08	
2013-06	16.07	24.37	
2013-07	16.33	28.22	
2013-08	16.34	30.68	
2013-09	18.15	73.92	
2013-10	18.63	81.3	
2013-11	18.3	79.51	
2013-12	17.8	73.3	
2014-01	18.75	72.58	
2014-02	21.59	97.1	
2014-03	21.42	89.46	
2014-04	19.57	68.41	
2014-05	17.91	25.58	
2014-06	17.57	-0.45	
2014-07	17.41	-15.18	
2014-08	17.04	-33.67	
2014-09	18.46	-4.38	
2014-10	19.75	38.49	
2014-11	21.39	58.79	
2014-12	21.34	64.17	
2015-01	21.79	64.87	
2015-02	24.88	81.66	
2015-03	27.59	93.22	
2015-04	32.61	96.68	
2015-05	37.47	99.46	
2015-06	38.62	89.58	
2015-07	28.48	55.05	
2015-08	26.02	26.02	
2015-09	20.42	-15.85	
2015-10	24.04	-14.44	
2015-11	27.39	-0.34	
2015-12	28.51	19.64	
2016-01	23.27	-27.01	
2016-02	22.74	-47.32	
2016-03	22.12	-62.66	
2016-04	24.25	-45.58	
2016-05	22.2	-72.96	
2016-06	22.93	-68.57	
2016-07	23.06	-54.38	
2016-08	22.96	-53.84	
2016-09	21.38	-81.87	
2016-10	22.06	-77.68	
2016-11	23.34	-35.67	
2016-12	22.42	-33.89	
2017-01	20.94	-79.31	
2017-02	20.67	-88.39	
2017-03	24.1	-28.61	
2017-04	19.84	-52.03	
2017-05	17.94	-93.26	
2017-06	16.21	-97.73	
2017-07	16.22	-90.43	
2017-08	16.29	-85.6	
2017-09	18.54	-52.51	
2017-10	18.96	-31.35	
2017-11	19.74	-5.15	
2017-12	17.87	-36.1	
2018-01	17.1	-56.98	
2018-02	14.11	-74.64	
2018-03	16.17	-65.14	
2018-04	17.2	-47.57	
2018-05	16.53	-53.17	
2018-06	15.03	-74.29	
2018-07	13.96	-81.7	
2018-08	12.18	-92.12	
2018-09	10.8	-98.35	
2018-10	10.49	-91.86	
2018-11	10.14	-93.75	
2018-12	9.95	-92.9	
2019-01	9.66	-91.03	
2019-02	10.3	-74.47	
2019-03	11.76	-31.76	
2019-04	11.95	-9.31	
2019-05	11.22	-15.67	
2019-06	11.39	1.97	
2019-07	12.23	29.74	
2019-08	12.76	49.27	
2019-09	13.52	64.78	
2019-10	13.02	59.57	
2019-11	14.18	77.98	
2019-12	13.81	75.97	
2020-01	14.07	77.73	
2020-02	14.94	90.45	
2020-03	14.26	78.49	
2020-04	13.69	46.47	
2020-05	15.32	79.12	
2020-06	15.4	87.5	
2020-07	17.27	95.92	
2020-08	16.14	79.08	
2020-09	13.54	24.19	
2020-10	16.07	58.76	
2020-11	17.44	79.46	
2020-12	18.26	88.43	
2021-01	20.63	92.95	
2021-02	20.38	90.12	
2021-03	17.27	53.96	
2021-04	18.49	59.06	
2021-05	17.93	48.61	
2021-06	17.54	26.02	
2021-07	18.88	42.9	
2021-08	19.34	65.83	
2021-09	18.02	33.62	
2021-10	19.8	58.76	
2021-11	19.32	64.53	
2021-12	17.82	36.06	
2022-01	16.9	-40.89	
2022-02	17.28	-55.02	
2022-03	17.31	-47.26	
2022-04	15.57	-77.3	
2022-05	15.32	-86.89	
2022-06	16.87	-59.99	
2022-07	18.01	-19.18	
2022-08	17.93	2.56	
2022-09	18.04	22.92	
2022-10	18.06	40.9	
2022-11	16.99	-4.3	
2022-12	16.54	-43.87	
2023-01	18.14	-8.93	
2023-02	15.86	-49.87	
2023-03	16.61	-51.79	
2023-04	18.43	11.61	
2023-05	17.24	4.64	
2023-06	18.12	40.58	
2023-07	17.77	47.19	
2023-08	17.63	24.96	
2023-09	16.81	-29.91	
2023-10	15.82	-56.99	
2023-11	15.77	-67.53	
2023-12	16.07	-64.8	
2024-01	15.01	-81.62	
2024-02	12.41	-92.41	
2024-03	15.14	-73.64	
2024-04	13.94	-87.14	
2024-05	13.93	-83.97	
2024-06	14.02	-77.87	
2024-07	13.03	-87.5	
2024-08	10.91	-97.12	
2024-09	11.23	-87.78	
2024-10	17.25	-24.11	
2024-11	17	11.01	
2024-12	16.91	37.05	
2025-01	17.05	52.74	
