month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2022-02	5.3	-4.17	
2022-03	4.92	-17.2	
2022-04	4.86	-22.79	
2022-05	4.57	-56.2	
2022-06	4.74	-51.4	
2022-07	4.79	-34.4	
2022-08	4.55	-70.11	
2022-09	4.53	-74.74	
2022-10	4.48	-73.16	
2022-11	4.79	-26.67	
2022-12	4.93	6.41	
2023-01	4.9	22.43	
2023-02	4.83	21.43	
2023-03	5.17	57.96	
2023-04	5.23	74.2	
2023-05	5.59	87.14	
2023-06	5.45	85.8	
2023-07	5.51	87.16	
2023-08	5.37	66.07	
2023-09	5.12	26.21	
2023-10	4.94	-7.77	
2023-11	4.96	-23.17	
2023-12	4.94	-32.14	
2024-01	4.83	-57.67	
2024-02	5.05	-33.99	
2024-03	5.01	-32.78	
2024-04	5.12	1.47	
2024-05	5.18	29.78	
2024-06	5.19	40.27	
2024-07	5.62	69.1	
2024-08	5.68	72.73	
2024-09	5.42	62.64	
2024-10	5.69	85.37	
2024-11	5.61	79.04	
2024-12	6.21	95.41	
2025-01	5.77	72.67	
