month	ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx收盘价
2009-01	44.31	0.44	
2009-02	48.63	0.57	
2009-03	45.25	0.45	
2009-04	48.48	0.54	
2009-05	49.2	0.56	
2009-06	53.17	0.67	
2009-07	56.09	0.74	
2009-08	54.07	0.66	
2009-09	56.88	0.73	
2009-10	62.65	0.88	
2009-11	68.72	1.03	
2009-12	72.3	1.11	
2010-01	71.26	1.05	
2010-02	70.88	1.01	
2010-03	68.46	0.91	
2010-04	72.05	0.98	
2010-05	72.3	0.96	
2010-06	78.04	1.08	
2010-07	85.12	1.23	
2010-08	91.22	1.34	
2010-09	100.95	1.54	
2010-10	111.79	1.75	
2010-11	109.66	1.64	
2010-12	98.6	1.32	
2011-01	90.21	1.09	
2011-02	89.74	1.05	
2011-03	90.03	1.02	
2011-04	88.91	0.96	
2011-05	96.58	1.09	
2011-06	95.5	1.03	
2011-07	105.79	1.21	
2011-08	115.15	1.35	
2011-09	106.4	1.13	
2011-10	107.08	1.11	
2011-11	114.86	1.22	
2011-12	111.79	1.12	
2012-01	101.41	0.89	
2012-02	96.74	0.77	
2012-03	99.5	0.79	
2012-04	93.69	0.66	
2012-05	96.28	0.68	
2012-06	82.58	0.43	
2012-07	65.59	0.12	
2012-08	56.36	-0.04	
2012-09	48.72	-0.18	
2012-10	47.64	-0.2	
2012-11	42.63	-0.29	
2012-12	43.91	-0.27	
2013-01	46.01	-0.24	
2013-02	44.36	-0.27	
2013-03	41.37	-0.32	
2013-04	36.78	-0.4	
2013-05	39.42	-0.36	
2013-06	38.54	-0.38	
2013-07	33.69	-0.46	
2013-08	32.56	-0.48	
2013-09	31.76	-0.49	
2013-10	30.8	-0.51	
2013-11	28.9	-0.54	
2013-12	27.89	-0.55	
2014-01	25.04	-0.6	
2014-02	25.93	-0.59	
2014-03	25.84	-0.59	
2014-04	26.11	-0.58	
2014-05	25.18	-0.6	
2014-06	24.58	-0.61	
2014-07	24.85	-0.6	
2014-08	28.71	-0.54	
2014-09	31.14	-0.5	
2014-10	29.85	-0.52	
2014-11	29.82	-0.52	
2014-12	33.6	-0.46	
2015-01	35.01	-0.44	
2015-02	33.7	-0.46	
2015-03	36.24	-0.42	
2015-04	44.46	-0.29	
2015-05	50.89	-0.19	
2015-06	52.39	-0.16	
2015-07	41.45	-0.33	
2015-08	38.68	-0.38	
2015-09	35.52	-0.43	
2015-10	38	-0.38	
2015-11	38.51	-0.37	
2015-12	45.25	-0.26	
2016-01	37.51	-0.38	
