month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2015-04	39.03	1.14	0.56	94.56	0.68	94.26	
2015-05	37.92	1.1	0.52	83.97	0.62	83.62	
2015-06	34.57	1.01	0.38	57.82	0.49	57.7	
2015-07	31.45	0.92	0.26	28.96	0.35	30.75	
2015-08	26.31	0.78	0.06	-6.72	0.15	-4.34	
2015-09	26.09	0.77	0.05	-20.94	0.15	-20.13	
2015-10	26.94	0.79	0.09	-22.22	0.18	-22.11	
2015-11	28.09	0.83	0.15	-21.51	0.24	-21.13	
2015-12	28.8	0.85	0.19	-14.44	0.29	-14.05	
2016-01	23.33	0.69	-0.02	-53.13	0.05	-54.02	
2016-02	20.49	0.6	-0.12	-76.19	-0.06	-75.95	
2016-03	22.81	0.67	-0.01	-70.57	0.06	-68.71	
2016-04	22.93	0.68	0.01	-72.77	0.08	-70.8	
2016-05	20.91	0.62	-0.06	-88.73	0	-87.29	
2016-06	20.93	0.62	-0.06	-87.81	0.02	-85.27	
2016-07	21.3	0.64	-0.03	-75.08	0.05	-69.09	
2016-08	21.34	0.64	-0.03	-72.21	0.05	-64.21	
2016-09	21.69	0.65	-0.01	-47.63	0.07	-37.77	
2016-10	21.64	0.65	-0.01	-40.68	0.07	-30.58	
2016-11	23.61	0.71	0.08	3.69	0.16	8.2	
2016-12	24.45	0.73	0.12	26.22	0.2	29.55	
2017-01	25.62	0.77	0.18	48.02	0.26	52.03	
2017-02	26.3	0.79	0.2	58.98	0.3	59.32	
2017-03	25.18	0.76	0.15	47.71	0.23	49.81	
2017-04	24.83	0.75	0.13	35.17	0.21	38.64	
2017-05	26.93	0.81	0.22	73.08	0.31	74.2	
2017-06	27.54	0.83	0.25	85.11	0.34	84.86	
2017-07	28.2	0.86	0.27	90.43	0.37	89.58	
2017-08	28.03	0.85	0.26	84.63	0.35	83.93	
2017-09	28.17	0.85	0.27	83.5	0.35	82.44	
2017-10	28.82	0.87	0.29	84.82	0.38	83.72	
2017-11	32.98	1	0.48	97	0.56	94.93	
2017-12	31.25	0.95	0.4	84.06	0.48	82.99	
2018-01	30.62	0.93	0.37	73.74	0.45	73.74	
2018-02	28.48	0.86	0.27	47.56	0.34	46.61	
2018-03	26.79	0.81	0.2	1.71	0.27	2.8	
2018-04	24.83	0.75	0.12	-30.16	0.17	-30.51	
2018-05	24.99	0.76	0.13	-42.45	0.19	-44.52	
2018-06	23.92	0.73	0.08	-61.16	0.14	-62.19	
2018-07	22.91	0.71	0.04	-76.06	0.11	-70.66	
2018-08	22.17	0.68	0.01	-89.17	0.06	-84.78	
2018-09	21.65	0.67	-0.02	-90.6	0.05	-87.41	
2018-10	21.88	0.67	-0.01	-85.37	0.05	-83.48	
2018-11	22.06	0.68	0	-76.54	0.06	-73.74	
2018-12	21.32	0.66	-0.03	-90.71	0.03	-86.07	
2019-01	21.17	0.65	-0.04	-84.62	0.02	-81.25	
2019-02	25.02	0.77	0.14	-29.7	0.2	-27.14	
2019-03	28.99	0.89	0.32	31.84	0.39	32.57	
2019-04	29.65	0.91	0.34	56.68	0.4	58.12	
2019-05	26.09	0.8	0.18	43.21	0.23	48.53	
2019-06	27.17	0.84	0.23	60.99	0.29	63.49	
2019-07	29.73	0.92	0.34	81.17	0.42	81.83	
2019-08	28.64	0.89	0.28	70.74	0.35	73.62	
2019-09	28.87	0.89	0.29	71.03	0.35	73.3	
2019-10	29.95	0.93	0.33	76.19	0.39	76.64	
2019-11	34.39	1.07	0.52	94.94	0.6	93.24	
2019-12	33.93	1.05	0.48	90.83	0.54	88.96	
2020-01	34.3	1.06	0.49	91.24	0.56	89.9	
2020-02	30.78	0.96	0.33	54.64	0.39	55.22	
2020-03	27.65	0.86	0.19	11.53	0.25	12.34	
2020-04	27.29	0.85	0.17	-12.58	0.21	-12.84	
2020-05	26.9	0.83	0.15	-28.32	0.19	-29.17	
2020-06	27.86	0.86	0.18	-24.15	0.23	-26.87	
2020-07	36.91	1.16	0.55	33	0.63	33.23	
2020-08	42.23	1.34	0.76	71.9	0.86	74.36	
2020-09	44.3	1.4	0.82	87.95	0.92	89.49	
2020-10	48.44	1.53	0.97	95.2	1.07	95.31	
2020-11	42.56	1.35	0.71	75.81	0.82	74.66	
2020-12	39.56	1.25	0.58	51.98	0.67	51.51	
2021-01	39	1.23	0.54	39.55	0.62	40.31	
2021-02	34.54	1.09	0.36	2.32	0.42	3.69	
2021-03	32.34	1.02	0.27	-28.14	0.32	-25.97	
2021-04	31.6	1	0.23	-45.96	0.28	-44.73	
2021-05	34.57	1.09	0.34	-30.51	0.4	-29.61	
2021-06	34.41	1.09	0.32	-26.91	0.38	-23.85	
2021-07	31.14	1	0.19	-66.44	0.27	-63.07	
2021-08	28.82	0.93	0.1	-80.88	0.16	-80.03	
2021-09	30.8	1	0.17	-72.19	0.25	-69.51	
2021-10	31.65	1.02	0.19	-62.95	0.26	-58.87	
2021-11	29.22	0.94	0.09	-84.37	0.16	-81.62	
2021-12	29.99	0.97	0.12	-75.62	0.18	-72.4	
2022-01	29.43	0.95	0.09	-72.18	0.16	-72.65	
2022-02	29.8	0.96	0.1	-76.12	0.16	-72.21	
2022-03	26.75	0.85	-0.02	-94.52	0.02	-92.16	
2022-04	26.18	0.85	-0.04	-94.41	0.01	-88.02	
2022-05	24.93	0.81	-0.09	-97.65	-0.04	-95.91	
2022-06	28.02	0.9	0.01	-67.6	0.06	-65.73	
2022-07	29.15	0.95	0.05	-32.27	0.12	-20.96	
2022-08	27.56	0.91	-0.01	-53.18	0.06	-31.41	
2022-09	30.8	1.02	0.1	7.74	0.19	21.64	
2022-10	29.72	0.98	0.05	20.81	0.13	29.3	
2022-11	31.53	1.04	0.11	29.26	0.18	37.79	
2022-12	35.97	1.19	0.26	63.88	0.35	72.85	
