month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2018-11	1.46	0.28	
2018-12	1.42	0.23	
2019-01	1.46	0.27	
2019-02	1.54	0.34	
2019-03	1.57	0.35	
2019-04	1.58	0.36	
2019-05	1.47	0.26	
2019-06	1.49	0.27	
2019-07	1.5	0.27	
2019-08	1.47	0.25	
2019-09	1.54	0.29	
2019-10	1.73	0.45	
2019-11	1.69	0.41	
2019-12	1.7	0.4	
2020-01	1.67	0.37	
2020-02	1.51	0.24	
2020-03	1.46	0.19	
2020-04	1.41	0.14	
2020-05	1.45	0.17	
2020-06	1.49	0.19	
2020-07	1.66	0.32	
2020-08	1.61	0.27	
2020-09	1.54	0.21	
2020-10	1.65	0.29	
2020-11	1.73	0.34	
2020-12	1.68	0.29	
2021-01	1.67	0.27	
2021-02	1.72	0.3	
2021-03	1.71	0.29	
2021-04	1.62	0.22	
2021-05	1.59	0.19	
2021-06	1.58	0.17	
2021-07	1.51	0.12	
2021-08	1.47	0.08	
2021-09	1.52	0.12	
2021-10	1.52	0.11	
2021-11	1.47	0.07	
2021-12	1.47	0.07	
2022-01	1.49	0.07	
2022-02	1.5	0.07	
2022-03	1.43	0.02	
2022-04	1.45	0.03	
2022-05	1.37	-0.03	
2022-06	1.39	-0.02	
2022-07	1.38	-0.03	
2022-08	1.33	-0.07	
2022-09	1.34	-0.07	
2022-10	1.31	-0.09	
2022-11	1.34	-0.08	
2022-12	1.44	-0.01	
2023-01	1.44	-0.01	
2023-02	1.41	-0.04	
2023-03	1.44	-0.02	
2023-04	1.46	-0.01	
2023-05	1.55	0.05	
2023-06	1.47	0	
2023-07	1.47	-0.01	
2023-08	1.53	0.04	
2023-09	1.53	0.04	
2023-10	1.51	0.03	
2023-11	1.46	-0.01	
2023-12	1.44	-0.02	
2024-01	1.5	0.02	
2024-02	1.6	0.09	
2024-03	1.62	0.1	
2024-04	1.55	0.05	
2024-05	1.6	0.08	
2024-06	1.57	0.06	
2024-07	1.65	0.11	
2024-08	1.67	0.12	
2024-09	1.67	0.12	
2024-10	1.83	0.22	
2024-11	1.86	0.24	
2024-12	1.97	0.3	
2025-01	1.98	0.3	
2025-02	2.05	0.35	
