month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2014-10	4.91	0.03	
2014-11	5.29	0.09	
2014-12	7.28	0.49	
2015-01	9.37	0.88	
2015-02	8.59	0.7	
2015-03	8.71	0.7	
2015-04	11.28	1.17	
2015-05	11.6	1.18	
2015-06	10.86	1.01	
2015-07	8.94	0.64	
2015-08	7.84	0.43	
2015-09	7.16	0.29	
2015-10	7.57	0.36	
2015-11	8.13	0.45	
2015-12	9.72	0.73	
2016-01	7.94	0.41	
2016-02	7.95	0.41	
2016-03	8.56	0.52	
2016-04	8.13	0.44	
2016-05	7.77	0.37	
2016-06	7.71	0.36	
2016-07	8.3	0.46	
2016-08	8.77	0.53	
2016-09	8.75	0.51	
2016-10	8.4	0.44	
2016-11	8.63	0.47	
2016-12	8.73	0.47	
2017-01	8.4	0.4	
2017-02	8.64	0.42	
2017-03	8.84	0.44	
2017-04	8.9	0.44	
2017-05	8.55	0.37	
2017-06	9.14	0.45	
2017-07	9.92	0.56	
2017-08	9.59	0.5	
2017-09	10.28	0.59	
2017-10	9.91	0.53	
2017-11	10.65	0.64	
2017-12	12.19	0.86	
2018-01	15.57	1.34	
2018-02	15.05	1.23	
2018-03	13.5	0.98	
2018-04	12.93	0.88	
2018-05	12.51	0.8	
2018-06	12.82	0.82	
2018-07	10.95	0.55	
2018-08	11.03	0.54	
2018-09	11.79	0.63	
2018-10	11.18	0.53	
2018-11	12.48	0.69	
2018-12	12.16	0.63	
2019-01	11.77	0.56	
2019-02	12.72	0.67	
2019-03	13.33	0.73	
2019-04	13.66	0.75	
2019-05	12.41	0.57	
2019-06	12.93	0.62	
2019-07	13.99	0.74	
2019-08	14.13	0.73	
2019-09	14.39	0.74	
2019-10	15.55	0.86	
2019-11	14.66	0.73	
2019-12	15.76	0.84	
2020-01	16.15	0.86	
2020-02	15.38	0.75	
2020-03	15.76	0.77	
2020-04	15.76	0.75	
2020-05	15.63	0.71	
2020-06	15.72	0.7	
2020-07	17.72	0.89	
2020-08	17.58	0.85	
2020-09	17.68	0.84	
2020-10	17.25	0.77	
2020-11	17.58	0.79	
2020-12	17.34	0.74	
2021-01	16.16	0.61	
2021-02	15.34	0.51	
2021-03	16.08	0.57	
2021-04	15.21	0.47	
2021-05	14.55	0.4	
2021-06	13.69	0.31	
2021-07	12.25	0.16	
2021-08	12.68	0.2	
2021-09	14.58	0.37	
2021-10	15.19	0.41	
2021-11	15.6	0.44	
2021-12	16.95	0.54	
2022-01	17.92	0.61	
2022-02	18.03	0.61	
2022-03	18.89	0.66	
2022-04	20.35	0.77	
2022-05	18.67	0.6	
2022-06	18.03	0.53	
2022-07	19.31	0.61	
2022-08	18.89	0.56	
2022-09	20.91	0.7	
2022-10	19.58	0.58	
2022-11	18.09	0.44	
2022-12	18.51	0.46	
2023-01	18.7	0.46	
2023-02	18.03	0.39	
2023-03	16.97	0.3	
2023-04	17.18	0.3	
2023-05	16.12	0.22	
2023-06	16.13	0.21	
2023-07	15.82	0.18	
2023-08	17.16	0.28	
2023-09	16.39	0.21	
2023-10	14.34	0.06	
2023-11	13.3	-0.02	
2023-12	12.06	-0.11	
2024-01	11.19	-0.18	
2024-02	11.82	-0.14	
2024-03	11.5	-0.16	
2024-04	10.17	-0.26	
2024-05	12.37	-0.1	
2024-06	11.88	-0.14	
2024-07	10.89	-0.21	
2024-08	10.41	-0.25	
2024-09	10.4	-0.25	
2024-10	13.63	-0.02	
2024-11	13.38	-0.04	
2024-12	12.29	-0.12	
2025-01	11	-0.22	
